gene,allele,population,alleles_over_2n,n,resolution
DPB1,DPB1*01:01,Argentina Gran Chaco Eastern Toba,0.004,135,4-digit
DPB1,DPB1*01:01,Argentina Gran Chaco Mataco Wichi,0.0,49,4-digit
DPB1,DPB1*01:01,Argentina Gran Chaco Western Toba Pilaga,0.0,19,4-digit
DPB1,DPB1*01:01,Australia Cape York Peninsula Aborigine,0.01,103,4-digit
DPB1,DPB1*01:01,Austria,0.035,200,4-digit
DPB1,DPB1*01:01,Austria pop 2,0.033,490,4-digit
DPB1,DPB1*01:01,Belgium,0.031,99,4-digit
DPB1,DPB1*01:01,Borneo Bandjarmasin,0.024,21,4-digit
DPB1,DPB1*01:01,Brazil Central Plateau Xavante,0.0,74,4-digit
DPB1,DPB1*01:01,Brazil Ticuna,0.01,50,4-digit
DPB1,DPB1*01:01,Central African Republic Aka Pygmy,0.049,93,4-digit
DPB1,DPB1*01:01,China Canton Han,0.021,264,4-digit
DPB1,DPB1*01:01,China Shanghai pop 2,0.0,40,4-digit
DPB1,DPB1*01:01,China Urumqi Han,0.034,59,4-digit
DPB1,DPB1*01:01,China Urumqi Kazak,0.0,42,4-digit
DPB1,DPB1*01:01,China Urumqi Uyghur,0.018,57,4-digit
DPB1,DPB1*01:01,China Yunnan Province Dai,0.005,74,4-digit
DPB1,DPB1*01:01,Colombia Amazon Region Coreguaje pop 2,0.0,45,4-digit
DPB1,DPB1*01:01,Colombia Guajira Desert Wayuu,0.018,54,4-digit
DPB1,DPB1*01:01,Colombia Northwest Choco,0.5,20,4-digit
DPB1,DPB1*01:01,Colombia Pacific Coast Region Embera,0.0,49,4-digit
DPB1,DPB1*01:01,Colombia Providencia Island African,0.153,30,4-digit
DPB1,DPB1*01:01,Colombia Sierra Nevada de Santa Marta Arsario pop 2,0.0,50,4-digit
DPB1,DPB1*01:01,Colombia Sierra Nevada de Santa Marta Ijka,0.0,40,4-digit
DPB1,DPB1*01:01,Colombia Sierra Nevada de Santa Marta Ijka pop 2,0.05,30,4-digit
DPB1,DPB1*01:01,Colombia Sierra Nevada de Santa Marta Kogi pop 2,0.0,50,4-digit
DPB1,DPB1*01:01,Colombia West Cauca,0.425,20,4-digit
DPB1,DPB1*01:01,Costa Rica and Panama Mestizo,0.02,56,4-digit
DPB1,DPB1*01:01,Czech Republic,0.03,106,4-digit
DPB1,DPB1*01:01,Czech Republic pop 2,0.0465,99,4-digit
DPB1,DPB1*01:01,Czech Republic Romani,0.0146,34,4-digit
DPB1,DPB1*01:01,England Northwest Mixed,0.056,2960,4-digit
DPB1,DPB1*01:01,England pop 3,0.081,61,4-digit
DPB1,DPB1*01:01,England pop 5,0.048,42,4-digit
DPB1,DPB1*01:01,France Lille,0.042,95,4-digit
DPB1,DPB1*01:01,France Rennes,0.048,200,4-digit
DPB1,DPB1*01:01,France Rennes pop 2,0.0555,148,4-digit
DPB1,DPB1*01:01,France West Breton,0.062,150,4-digit
DPB1,DPB1*01:01,Gabon Haut-Ogooue Dienga,0.234,167,4-digit
DPB1,DPB1*01:01,Gabon Lambarene,0.208,120,4-digit
DPB1,DPB1*01:01,Gambia pop 2,0.205,100,4-digit
DPB1,DPB1*01:01,Gambia pop 3,0.254,939,4-digit
DPB1,DPB1*01:01,Georgia Svaneti Region Svan,0.006,80,4-digit
DPB1,DPB1*01:01,Germany DKMS - German donors,0.0489,3456066,4-digit
DPB1,DPB1*01:01,Germany Essen,0.054,174,4-digit
DPB1,DPB1*01:01,Germany pop 2,0.039,206,4-digit
DPB1,DPB1*01:01,Greece,0.04,48,4-digit
DPB1,DPB1*01:01,Greece pop 4,0.0,98,4-digit
DPB1,DPB1*01:01,Greece pop 6,0.0186,242,4-digit
DPB1,DPB1*01:01,Greece pop 8,0.0301,83,4-digit
DPB1,DPB1*01:01,Greece pop3,0.0227,246,4-digit
DPB1,DPB1*01:01,Hong Kong Chinese HKBMDR. DQ and DP,0.008,1064,4-digit
DPB1,DPB1*01:01,India Delhi,0.01,112,4-digit
DPB1,DPB1*01:01,India Lucknow,0.021,123,4-digit
DPB1,DPB1*01:01,Indonesia Java,0.017,58,4-digit
DPB1,DPB1*01:01,Indonesia Moluccan Islands,0.337,24,4-digit
DPB1,DPB1*01:01,Indonesia Nusa Tenggara Islands,0.029,49,4-digit
DPB1,DPB1*01:01,Ireland Northern pop 3,0.036,150,4-digit
DPB1,DPB1*01:01,Ireland South,0.048,250,4-digit
DPB1,DPB1*01:01,Italy Bergamo,0.06,101,4-digit
DPB1,DPB1*01:01,Italy Central,0.016,380,4-digit
DPB1,DPB1*01:01,Italy North pop 3,0.02,97,4-digit
DPB1,DPB1*01:01,Italy Rome,0.025,100,4-digit
DPB1,DPB1*01:01,Italy Sardinia pop 4,0.0102,49,4-digit
DPB1,DPB1*01:01,Italy Sardinia pop2,0.01,1129,4-digit
DPB1,DPB1*01:01,Italy Turin,0.057,87,4-digit
DPB1,DPB1*01:01,Japan pop 17,0.0003,3078,4-digit
DPB1,DPB1*01:01,Japan pop 2,0.002,916,4-digit
DPB1,DPB1*01:01,"Kenya, Nyanza Province, Luo tribe",0.305,100,4-digit
DPB1,DPB1*01:01,Lebanon Kafar Zubian,0.008,94,4-digit
DPB1,DPB1*01:01,Lebanon Niha el Shouff,0.0,61,4-digit
DPB1,DPB1*01:01,Lebanon Yuhmur,0.0,82,4-digit
DPB1,DPB1*01:01,Liberia Bong County,0.559,110,4-digit
DPB1,DPB1*01:01,Malaysia,0.026,74,4-digit
DPB1,DPB1*01:01,Mexico Chiapas Lacandon Mayans,0.0023,218,4-digit
DPB1,DPB1*01:01,Netherlands,0.0694,447,4-digit
DPB1,DPB1*01:01,New Zealand Maori pop 2,0.023,55,4-digit
DPB1,DPB1*01:01,Nicaragua Managua,0.0566,339,4-digit
DPB1,DPB1*01:01,Nigeria Southwest Abanla Yoruba,0.531,130,4-digit
DPB1,DPB1*01:01,Niue pop 2,0.0,38,4-digit
DPB1,DPB1*01:01,Norway,0.08,181,4-digit
DPB1,DPB1*01:01,Panama,0.0832,462,4-digit
DPB1,DPB1*01:01,Papua New Guinea East New Britain Tolai,0.011,48,4-digit
DPB1,DPB1*01:01,Papua New Guinea Highland,0.026,94,4-digit
DPB1,DPB1*01:01,Papua New Guinea Highland pop2,0.025,28,4-digit
DPB1,DPB1*01:01,Papua New Guinea Lowland,0.073,47,4-digit
DPB1,DPB1*01:01,Papua New Guinea Lowland Roro,0.021,26,4-digit
DPB1,DPB1*01:01,Papua New Guinea Trobriand Island,0.006,81,4-digit
DPB1,DPB1*01:01,Russia Karelia,0.0331,1075,4-digit
DPB1,DPB1*01:01,Russia Northwest Slavic,0.055,200,4-digit
DPB1,DPB1*01:01,Samoa,0.0,29,4-digit
DPB1,DPB1*01:01,Samoa pop 3,0.0,65,4-digit
DPB1,DPB1*01:01,Samoa West,0.0,22,4-digit
DPB1,DPB1*01:01,Saudi Arabia,0.0571,18,4-digit
DPB1,DPB1*01:01,Singapore Riau Malay,0.029,132,4-digit
