allele,frequency
B07:02,0.0689
B07:03,2e-05
B07:05,0.01
B07:09,0.0003
B07:10,2e-05
B07:12,2e-05
B07:28,2e-05
B07:33,1e-05
B07:122,1e-05
B08:01,0.032
B08:02,2e-05
B08:07,2e-05
B08:12,0.0002
B08:16,2e-05
B13:01,0.0001
B13:02,0.0123
B13:03,0.0001
B14:01,0.0074
B14:02,0.0219
B14:03,0.0024
B14:05,0.0002
B14:09,4e-05
B14:12,2e-05
B15:01,0.0066
B15:02,0.0004
B15:03,0.063
B15:04,2e-05
B15:07,9e-05
B15:08,2e-05
B15:09,0.0001
B15:10,0.0361
B15:11,1e-05
B15:13,0.0003
B15:15,7e-05
B15:16,0.0179
B15:17,0.0061
B15:18,0.0012
B15:20,2e-05
B15:25,0.0001
B15:31,0.0006
B15:37,0.0006
B15:39,1e-05
B15:47,0.0003
B15:52,0.0002
B15:54,0.0002
B15:55,4e-05
B15:65,2e-05
B15:67,0.0001
B15:83,2e-05
B15:123,2e-05
B15:191,1e-05
B15:219,1e-05
B18:01,0.0319
B18:03,0.0001
B18:07,2e-05
B18:09,2e-05
B18:11,2e-05
B18:25,0.0001
B18:26,2e-05
B18:29,1e-05
B27:02,0.0005
B27:03,0.0044
B27:04,1e-05
B27:05,0.0059
B27:06,0.0001
B27:07,0.0002
B27:08,7e-05
B27:09,2e-05
B27:12,2e-05
B27:26,4e-05
B27:79,1e-05
B35:01,0.0668
B35:02,0.0019
B35:03,0.0016
B35:04,2e-05
B35:05,0.0002
B35:08,0.0009
B35:12,7e-05
B35:17,2e-05
B35:20,2e-05
B35:29,1e-05
B35:30,2e-05
B35:32,4e-05
B35:34,4e-05
B35:49,2e-05
B35:92,1e-05
B35:102,9e-05
B35:158,2e-05
B37:01,0.0062
B38:01,0.0026
B38:02,0.0001
B38:06,2e-05
B39:01,0.0018
B39:02,1e-05
B39:03,9e-05
B39:04,1e-05
B39:05,4e-05
B39:06,0.0009
B39:09,2e-05
B39:10,0.0114
B39:23,1e-05
B39:24,0.0004
B39:52,2e-05
B40:01,0.0087
B40:02,0.0027
B40:03,2e-05
B40:06,0.0005
B40:07,1e-05
B40:12,0.0012
B40:16,0.0002
B40:106,1e-05
B41:01,0.0084
B41:02,0.0058
B41:03,0.0007
B41:04,2e-05
B42:01,0.0496
B42:02,0.007
B42:05,2e-05
B44:02,0.0131
B44:03,0.0424
B44:04,5e-05
B44:05,0.0002
B44:06,2e-05
B44:07,0.0001
B44:10,0.0012
B44:15,0.0007
B44:18,2e-05
B45:01,0.0445
B45:02,5e-05
B45:03,2e-05
B46:01,7e-05
B46:02,2e-05
B46:20,7e-05
B47:01,0.0021
B47:02,0.0001
B47:03,0.0011
B47:05,2e-05
B48:01,0.0004
B48:03,4e-05
B48:05,0.0001
B49:01,0.038
B50:01,0.0117
B50:02,0.0002
B51:01,0.0241
B51:02,0.0006
B51:04,4e-05
B51:05,9e-05
B51:06,2e-05
B51:07,7e-05
B51:08,0.0012
B51:09,0.0007
B52:01,0.0172
B52:06,2e-05
B53:01,0.1213
B53:02,4e-05
B53:08,4e-05
B53:19,2e-05
B53:20,2e-05
B53:21,2e-05
