allele,frequency
B07:02,0.0729
B07:03,4e-06
B07:04,8e-06
B07:05,0.0082
B07:07,2.4e-05
B07:09,0.0003
B07:10,2.2e-05
B07:12,3.2e-05
B07:13,7e-06
B07:14,7e-06
B07:15,1e-06
B07:16,1e-06
B07:20,1e-06
B07:21,1e-06
B07:22,2e-06
B07:26,1e-06
B07:30,1e-06
B07:31,2e-06
B07:42,2e-06
B07:43,2e-06
B07:57,1e-06
B07:91,1e-06
B07:103,1e-06
B07:118,1e-06
B08:01,0.0376
B08:03,1e-06
B08:04,2e-06
B08:09,2e-05
B08:12,0.0002
B08:13,1e-06
B08:15,1e-06
B08:16,4e-06
B08:18,2e-06
B08:20,2e-06
B08:23,1.3e-05
B08:26,1e-06
B08:28,1e-06
B08:31,1e-06
B08:36,2e-06
B08:42,1e-06
B08:55,2e-06
B08:62,1e-06
B08:66,1e-06
B13:01,9.7e-05
B13:02,0.0078
B13:03,2.5e-05
B13:33,4e-06
B14:01,0.0079
B14:02,0.0216
B14:03,0.0022
B14:04,4e-06
B14:05,0.0002
B14:09,6e-06
B14:12,4e-06
B15:01,0.0108
B15:02,0.0003
B15:03,0.064
B15:04,3.5e-05
B15:05,1.1e-05
B15:06,2e-06
B15:07,0.0001
B15:08,3.7e-05
B15:09,6.4e-05
B15:10,0.0346
B15:11,1.1e-05
B15:12,1e-06
B15:13,0.0003
B15:14,1e-06
B15:16,0.018
B15:17,0.0045
B15:18,0.0015
B15:20,4e-06
B15:21,7e-06
B15:23,2.9e-05
B15:24,2.3e-05
B15:25,0.0001
B15:29,1.2e-05
B15:30,1.1e-05
B15:31,0.0003
B15:34,1e-06
B15:35,7e-06
B15:37,0.0008
B15:39,1.8e-05
B15:40,4e-06
B15:45,4e-06
B15:47,0.0003
B15:52,0.0002
B15:53,7e-06
B15:54,0.0002
B15:56,1e-06
B15:61,6e-06
B15:62,1.3e-05
B15:64,2e-06
B15:71,1e-06
B15:73,1e-06
B15:74,1e-06
B15:83,1e-06
B15:88,1e-06
B15:95,1e-06
B15:123,1e-06
B15:156,1e-06
B15:157,6.2e-05
B15:158,1e-06
B18:01,0.032
B18:02,1e-05
B18:03,2e-05
B18:04,1e-05
B18:05,2e-06
B18:06,2e-06
B18:07,1e-06
B18:12,5e-06
B18:13,1e-06
B18:25,4.6e-05
B18:26,2e-06
B18:29,1e-06
B27:01,4e-06
B27:02,0.0004
B27:03,0.0033
B27:04,1.8e-05
B27:05,0.0084
B27:06,0.0003
B27:07,5.8e-05
B27:08,2.3e-05
B27:09,8e-06
B27:10,5e-06
B27:12,1.9e-05
B27:14,3.2e-05
B27:17,1e-06
B27:26,2e-06
B35:01,0.0689
B35:02,0.0008
B35:03,0.002
B35:04,2.4e-05
B35:05,0.0004
B35:06,8e-06
B35:08,0.0004
B35:10,6e-06
B35:11,3.5e-05
B35:12,0.0001
B35:14,2e-06
B35:15,1e-06
B35:16,1e-06
B35:17,1.7e-05
B35:19,1e-06
B35:20,2.5e-05
B35:21,2e-06
B35:22,1e-06
B35:23,1e-06
B35:24,5e-06
B35:25,1e-06
B35:27,3e-05
B35:28,1e-06
B35:32,6e-06
B35:34,1.2e-05
B35:41,8e-06
B35:43,9.2e-05
B35:49,1.8e-05
B35:59,5e-06
B35:63,1e-06
B35:68,1e-06
B37:01,0.0055
B37:02,1e-06
B38:01,0.0022
B38:02,7.3e-05
B38:06,2e-06
B38:09,1e-06
B39:01,0.0032
B39:02,4.6e-05
B39:03,4e-05
B39:05,0.0002
B39:06,0.0014
B39:08,7e-06
B39:09,1.2e-05
B39:10,0.0081
B39:11,4e-06
B39:13,1.7e-05
B39:15,2.2e-05
B39:16,4e-06
B39:20,1.8e-05
B39:24,0.0001
B39:31,1e-05
B40:01,0.0128
B40:02,0.0033
B40:03,1.2e-05
B40:04,1.8e-05
B40:05,2.3e-05
B40:06,0.0004
B40:08,3.1e-05
B40:10,1e-06
B40:11,5e-06
B40:12,0.0009
B40:14,1e-06
B40:16,0.0002
B40:23,2e-06
B40:25,1e-06
B40:27,1e-06
B40:30,8e-06
B40:36,1e-06
B40:50,1e-06
B40:89,1e-06
B40:90,5e-06
B41:01,0.003
B41:02,0.0056
B41:03,0.0006
B41:04,1e-06
B42:01,0.0531
B42:02,0.0073
B42:04,1e-06
B42:05,2e-06
B42:06,2e-06
B42:07,1e-06
B42:08,6e-06
B42:09,7e-06
B42:10,1e-06
B42:13,1e-06
B44:02,0.0208
B44:03,0.0459
B44:04,0.0001
B44:05,0.0003
B44:06,1e-06
B44:07,8.6e-05
B44:08,8e-06
B44:09,1.7e-05
B44:10,0.0015
B44:15,1.2e-05
B44:18,5.3e-05
B44:28,5e-06
B44:29,5e-06
B44:50,1.1e-05
B44:65,1e-06
B44:120,2e-06
B45:01,0.0495
B45:02,4.3e-05
B45:03,5e-06
B45:04,1e-06
B45:06,4e-06
B46:01,7.2e-05
B47:01,0.001
B47:02,2e-05
B47:03,0.0004
B47:05,1e-06
B48:01,0.0005
B48:02,1.4e-05
B48:03,5e-06
B48:05,1.7e-05
B48:06,5e-06
B48:07,4e-06
B48:10,1e-06
B49:01,0.0279
B49:05,1e-06
B50:01,0.0089
B50:02,0.0001
B51:01,0.0217
B51:02,0.0008
B51:04,1e-06
B51:05,1.4e-05
B51:06,1.6e-05
B51:07,6.8e-05
B51:08,0.0001
B51:09,0.0007
B51:10,1e-05
B51:22,1e-06
B51:31,1e-06
B51:34,1e-06
B51:43,1e-06
B51:46,1e-06
B51:64,1.6e-05
B51:79,1e-06
B52:01,0.0154
B52:02,1e-06
B52:10,1e-06
B53:01,0.1178
B53:02,4e-06
B53:04,1e-06
B53:05,1.2e-05
B53:07,2e-06
B53:08,4e-06
B53:14,2e-06
B53:15,7e-06
B53:20,1e-06
B54:01,3e-05
B55:01,0.004
B55:02,6.6e-05
B55:04,2e-06
B55:10,1e-06
B55:17,1e-06
B56:01,0.0023
B56:02,1e-06
B56:03,4e-06
B56:04,1.1e-05
B56:16,4e-06
B57:01,0.0071
B57:02,0.0038
B57:03,0.0318
B57:04,0.0019
B57:05,3e-05
B57:07,1e-06
B57:09,2.2e-05
B57:12,2e-06
