allele,frequency
B07:02,0.096
B07:05,0.003
B08:01,0.08
B13:02,0.017
B14:01,0.01
B14:02,0.026
B15:01,0.051
B15:02,0.001
B15:03,0.005
B15:04,0.001
B15:07,0.003
B15:10,0.002
B15:16,0.001
B15:17,0.004
B15:18,0.003
B15:150,0.002
B18:01,0.039
B27:02,0.002
B27:05,0.04
B35:01,0.081
B35:02,0.006
B35:03,0.011
B35:04,0.001
B35:05,0.001
B35:08,0.003
B35:12,0.004
B35:14,0.001
B35:17,0.002
B35:20,0.001
B35:43,0.004
B37:01,0.012
B38:01,0.013
B39:01,0.021
B39:02,0.001
B39:05,0.005
B39:06,0.018
B39:08,0.002
B39:10,0.001
B39:11,0.001
B40:01,0.044
B40:02,0.03
B40:05,0.002
B40:06,0.004
B40:08,0.001
B40:11,0.001
B41:01,0.004
B41:02,0.003
B42:01,0.003
B44:02,0.072
B44:03,0.044
B44:05,0.001
B45:01,0.008
B47:01,0.002
B48:01,0.012
B49:01,0.017
B50:01,0.009
B50:02,0.001
B51:01,0.056
B51:02,0.005
B51:07,0.001
B51:08,0.001
B51:73,0.001
B52:01,0.014
B53:01,0.011
B55:01,0.014
B56:01,0.004
B57:01,0.029
B57:03,0.002
B58:01,0.01
B58:02,0.004
B78:01,0.001
B81:01,0.001
A01:01,0.119
A02:01,0.265
A02:02,0.003
A02:03,0.001
A02:05,0.009
A02:06,0.02
A02:11,0.003
A03:01,0.106
A03:02,0.001
A11:01,0.051
A23:01,0.024
A24:02,0.112
A24:03,0.004
A25:01,0.014
A26:01,0.024
A29:01,0.002
A29:02,0.031
A30:01,0.014
A30:02,0.016
A30:04,0.001
A31:01,0.054
A32:01,0.028
A33:01,0.01
A33:03,0.008
A34:02,0.004
A36:01,0.002
A66:01,0.004
A68:01,0.042
A68:02,0.012
A68:03,0.006
A68:05,0.001
A68:20,0.001
A69:01,0.001
A74:01,0.003
A80:01,0.001
C01:02,0.046
C02:02,0.043
C03:02,0.006
C03:03,0.044
C03:04,0.082
C03:05,0.004
C03:06,0.001
C04:01,0.134
C04:03,0.001
C04:04,0.004
C05:01,0.079
C06:02,0.074
C07:01,0.119
C07:02,0.145
C07:04,0.011
C08:01,0.014
C08:02,0.035
C08:03,0.004
C08:04,0.001
C12:02,0.012
C12:03,0.035
C14:02,0.011
C14:03,0.001
C15:02,0.036
C15:05,0.003
C16:01,0.036
C16:02,0.003
C17:01,0.012
C18:01,0.001
