allele,frequency
B07:02,0.0729
B07:04,2e-05
B07:05,0.0073
B08:01,0.0286
B13:01,0.0006
B13:02,0.008
B14:01,0.0062
B14:02,0.0212
B14:03,0.0028
B15:01,0.009
B15:02,0.0009
B15:03,0.0555
B15:04,0.0001
B15:05,0.0002
B15:07,0.0002
B15:08,0.0002
B15:09,8e-05
B15:10,0.0378
B15:15,3e-05
B15:16,0.0205
B15:17,0.005
B15:18,0.0015
B15:23,2e-05
B15:24,5e-05
B15:25,0.0002
B15:27,3e-05
B15:29,2e-05
B15:30,2e-05
B15:37,0.0006
B15:47,0.0002
B15:138,0.0001
B18:01,0.0315
B18:02,1e-05
B18:03,6e-05
B27:02,0.0004
B27:04,0.0001
B27:05,0.0067
B27:07,0.0002
B27:08,3e-05
B27:09,2e-05
B27:12,0.0001
B27:14,2e-05
B35:01,0.0734
B35:02,0.0013
B35:03,0.0043
B35:04,0.0002
B35:05,0.0004
B35:08,0.0007
B35:11,0.0002
B35:12,0.0005
B35:17,5e-05
B35:20,3e-05
B35:43,0.0004
B35:59,2e-05
B37:01,0.0049
B38:01,0.0026
B38:02,0.0006
B39:01,0.0018
B39:02,0.0001
B39:03,0.0001
B39:05,0.0006
B39:06,0.001
B39:08,6e-05
B39:09,6e-05
B39:10,0.0094
B39:24,0.0001
B40:01,0.0097
B40:02,0.0035
B40:06,0.003
B40:08,0.0001
B40:14,2e-05
B41:01,0.0026
B41:02,0.0044
B42:01,0.0534
B42:02,0.0076
B44:02,0.0158
B44:03,0.0577
B44:04,0.0001
B44:05,0.0003
B44:10,0.0009
B45:01,0.044
B46:01,0.0006
B47:01,0.0007
B47:03,0.0003
B48:01,0.0004
B48:02,0.0002
B49:01,0.0263
B50:01,0.0088
B50:02,0.0002
B51:01,0.0226
B51:02,0.0005
B51:05,2e-05
B51:06,0.0002
B51:07,8e-05
B51:08,0.0002
B51:09,0.0008
B52:01,0.0204
B53:01,0.1281
B53:05,3e-05
B55:01,0.004
B55:02,9e-05
B56:01,0.0022
B57:01,0.0067
B57:02,0.0043
B57:03,0.0362
B57:04,0.0024
B58:01,0.0405
B58:02,0.0316
B59:01,1e-05
B67:01,0.0002
B73:01,0.0002
B78:01,0.007
B81:01,0.0182
B82:01,0.0022
B82:02,0.0002
A01:01,0.0449
A01:02,0.0033
A01:03,6e-05
A02:01,0.1107
A02:02,0.0415
A02:03,0.0003
A02:04,0.0006
A02:05,0.0167
A02:06,0.0003
A02:07,0.0001
A02:11,0.0019
A02:13,2e-05
A02:17,0.0002
A02:20,3e-05
A02:22,0.0002
A03:01,0.0783
A03:02,0.0004
A11:01,0.0156
A11:03,0.0001
A23:01,0.1068
A24:02,0.0251
A24:03,0.0006
A24:07,0.0006
A24:23,3e-05
A25:01,0.0028
A26:01,0.0123
A26:08,0.0002
A29:01,0.0008
A29:02,0.0293
A30:01,0.072
A30:02,0.0694
A30:04,0.0022
A30:07,0.0002
A31:01,0.0094
A32:01,0.0133
A32:04,2e-05
A33:01,0.0201
A33:03,0.0567
A33:05,2e-05
A34:01,3e-05
A34:02,0.0356
A36:01,0.0335
A43:01,8e-05
A66:01,0.0131
A66:02,0.0094
A66:03,0.0022
A68:01,0.0369
A68:02,0.0636
A68:03,0.0003
A68:15,0.0004
A68:28,2e-05
A68:31,2e-05
A69:01,0.0003
A74:01,0.0558
A74:03,9e-05
A80:01,0.0077
C01:02,0.0086
C02:02,0.0807
C03:02,0.02
C03:03,0.0118
C03:04,0.0497
C03:05,0.0008
C03:16,3e-05
C04:01,0.2279
C04:03,0.0004
C04:04,0.0001
C04:13,0.0004
C05:01,0.0285
C06:02,0.0716
C06:06,3e-05
C07:01,0.1161
C07:02,0.0664
C07:04,0.0051
C08:01,0.0015
C08:02,0.0329
C08:03,0.0001
C08:04,0.0104
C12:02,0.0044
C12:03,0.0169
C12:04,7e-05
C14:02,0.0185
C14:03,0.0015
C15:02,0.0064
C15:05,0.0169
C15:09,3e-05
C16:01,0.0966
C16:02,0.0007
C16:04,3e-05
C17:01,0.0679
C18:01,0.0347
