allele,frequency
B07:02,0.1306
B07:03,1.89e-05
B07:04,0.0003
B07:05,0.003
B07:07,2.66e-05
B07:08,2.8e-06
B07:09,6.16e-05
B07:10,6.16e-05
B07:14,2.86e-05
B07:15,8.4e-06
B07:16,2.4e-06
B07:18,3e-07
B07:19,3.2e-06
B07:20,1.2e-06
B07:21,1.2e-06
B07:22,5.2e-06
B07:23,3.6e-06
B07:24,4e-07
B07:26,4.4e-06
B07:29,1.6e-06
B07:31,1.6e-06
B07:33,3.2e-06
B07:36,3.6e-06
B07:37,6.8e-06
B07:38,3.6e-06
B07:42,1.05e-05
B07:46,4e-07
B07:53,2.4e-06
B07:55,8e-07
B07:64,4e-07
B07:70,4e-07
B07:75,4e-07
B07:86,4e-07
B07:92,4e-07
B07:95,1e-07
B07:96,1.6e-06
B07:102,4e-07
B07:114,4e-07
B07:118,1.2e-06
B07:124,8e-07
B08:01,0.1144
B08:02,1.6e-06
B08:03,1.6e-06
B08:04,1.37e-05
B08:05,4e-07
B08:07,1.2e-06
B08:09,7.68e-05
B08:10,1.6e-06
B08:11,4e-07
B08:12,5.6e-06
B08:13,1.65e-05
B08:14,1.6e-06
B08:18,1.17e-05
B08:20,1.37e-05
B08:21,4e-07
B08:23,1.2e-06
B08:24,4e-07
B08:25,8e-07
B08:26,4e-07
B08:27,8e-07
B08:28,4e-07
B08:31,2.4e-06
B08:33,1.6e-06
B08:34,8e-07
B08:35,2e-06
B08:41,1.2e-06
B08:52,4e-07
B08:56,1.2e-06
B08:66,4e-07
B13:01,9.61e-05
B13:02,0.0239
B13:03,4e-07
B13:04,4e-06
B13:09,4e-07
B13:10,8e-07
B13:16,1.2e-06
B13:32,4e-07
B13:34,8e-07
B14:01,0.0102
B14:02,0.0286
B14:03,1.41e-05
B14:06,1.89e-05
B14:08,4e-07
B15:01,0.0606
B15:02,4.1e-05
B15:03,0.0014
B15:04,1.13e-05
B15:05,2e-07
B15:06,4e-07
B15:07,0.0006
B15:08,0.0001
B15:09,0.0002
B15:10,0.0004
B15:11,8.4e-06
B15:12,8e-07
B15:13,3.2e-06
B15:14,4.4e-06
B15:15,1.25e-05
B15:16,0.0006
B15:17,0.0036
B15:18,0.0026
B15:20,4e-07
B15:21,2.8e-06
B15:23,3.62e-05
B15:24,0.0004
B15:25,7.2e-06
B15:27,3.6e-06
B15:29,2.17e-05
B15:30,1.29e-05
B15:31,1.93e-05
B15:32,2e-06
B15:33,8.9e-06
B15:34,2.09e-05
B15:35,1.53e-05
B15:37,1.6e-06
B15:38,8e-07
B15:39,9.29e-05
B15:40,3.2e-06
B15:42,1.6e-06
B15:43,8e-07
B15:45,3.86e-05
B15:48,1.2e-06
B15:50,2e-06
B15:51,4e-07
B15:53,2.8e-06
B15:56,4e-07
B15:58,4e-07
B15:63,2e-06
B15:65,1.01e-05
B15:69,4e-07
B15:70,8e-07
B15:71,1.13e-05
B15:73,1.53e-05
B15:76,2e-06
B15:78,2.8e-06
B15:82,7.6e-06
B15:92,4e-07
B15:93,4e-07
B15:98,2e-06
B15:107,2e-07
B15:108,8e-07
B15:113,4e-07
B15:123,4e-07
B15:125,1.6e-06
B15:132,1.97e-05
B15:135,1.2e-06
