allele,frequency
B07:02,0.0099
B07:05,0.0246
B07:07,2e-05
B07:10,1e-05
B07:26,1e-05
B07:114,2e-05
B08:01,0.0062
B08:02,1e-05
B08:18,1e-05
B13:01,0.028
B13:02,0.0048
B13:12,0.0002
B14:01,0.001
B14:02,0.0029
B15:01,0.0132
B15:02,0.0421
B15:03,0.0004
B15:04,4.9e-05
B15:05,6.9e-05
B15:06,0.002
B15:07,0.0001
B15:08,0.0002
B15:10,0.0002
B15:11,0.0012
B15:12,0.0002
B15:13,0.0227
B15:15,2e-05
B15:16,2.4e-05
B15:17,0.0008
B15:18,0.0019
B15:21,0.0325
B15:24,1e-05
B15:25,0.003
B15:27,0.0022
B15:29,2e-05
B15:30,8.9e-05
B15:32,4.9e-05
B15:35,0.0783
B15:39,3e-05
B15:44,0.0002
B15:45,3e-05
B15:48,2e-05
B15:56,0.0002
B15:58,5.9e-05
B15:63,1e-05
B15:64,1e-05
B15:67,3.5e-05
B15:109,1e-05
B15:141,8.9e-05
B15:159,1e-05
B18:01,0.0246
B18:02,0.0057
B18:06,4e-05
B18:07,1.5e-05
B18:11,1e-05
B18:29,1.5e-05
B27:02,0.0001
B27:04,0.0066
B27:05,0.0032
B27:06,0.0236
B27:07,8.9e-05
B27:08,1e-05
B27:09,2e-05
B27:10,4e-06
B27:12,6e-06
B27:15,2e-05
B27:26,4e-06
B27:54,6e-06
B27:63,1e-05
B35:01,0.0225
B35:02,0.0007
B35:03,0.0044
B35:05,0.0816
B35:08,0.0002
B35:09,2e-05
B35:11,1e-05
B35:12,9.9e-05
B35:14,1e-05
B35:17,6.9e-05
B35:20,1e-05
B35:26,1e-05
B35:29,4e-06
B35:30,0.0008
B35:43,7.9e-05
B35:52,2e-06
B35:69,1e-06
B35:92,3e-06
B37:01,0.0026
B38:01,0.0017
B38:02,0.1272
B39:01,0.0107
B39:02,9.9e-05
B39:03,3e-05
B39:05,0.0003
B39:06,0.0004
B39:09,0.0004
B39:10,4e-05
B39:15,0.0014
B39:47,2e-05
B40:01,0.0924
B40:02,0.0771
B40:03,0.0002
B40:05,5.9e-05
B40:06,0.0046
B40:08,5.9e-05
B40:10,0.0065
B40:11,2e-05
B40:23,1e-05
B40:25,2e-05
B40:27,2e-05
B40:45,1e-05
B40:95,1e-05
B40:99,2e-05
B40:126,1e-05
B40:157,1e-05
B41:01,0.001
B41:02,0.0003
B42:01,0.0002
B42:02,0.0001
B44:02,0.0054
B44:03,0.0155
B44:04,4.9e-05
B44:05,0.0001
B44:06,1e-05
B44:29,2e-05
B45:01,0.001
B46:01,0.0251
B47:01,0.0002
B48:01,0.0266
B48:02,1e-05
B48:03,0.0003
B49:01,0.002
B49:02,1e-05
B49:10,1e-05
B50:01,0.0013
B50:02,8.9e-05
B51:01,0.0376
B51:02,0.0054
B51:04,2e-05
B51:06,0.0192
B51:07,0.0002
B51:08,0.0001
B51:09,5.9e-05
B51:15,2.6e-05
B51:22,1e-05
B51:37,1e-05
B51:40,2.3e-05
B52:01,0.0057
B53:01,0.0008
B54:01,0.0053
B55:01,0.0011
B55:02,0.009
B55:04,0.0002
B55:07,3e-05
B55:12,6.9e-05
B55:23,0.0001
B56:01,0.0034
B56:03,0.0007
B56:04,0.0046
B56:06,1e-05
B56:07,9.9e-05
B56:10,2e-05
B57:01,0.0039
B57:02,1e-05
B57:03,4.9e-05
B57:06,1e-05
B58:01,0.0404
B58:02,7.9e-05
B59:01,5.9e-05
B67:01,0.0007
B73:01,0.0002
B78:02,0.0001
B81:01,0.0009
A01:01,0.0125
A01:02,3e-05
A01:03,0.0002
A02:01,0.0671
A02:02,0.0002
A02:03,0.0149
A02:05,0.0011
A02:06,0.0278
A02:07,0.0174
A02:10,0.0002
A02:11,0.0008
A02:16,0.0002
A02:17,6.9e-05
A02:20,7.1e-05
A02:35,1e-05
A02:48,2e-05
A02:60,1e-06
A02:64,1e-06
A02:105,1e-06
A02:114,1e-06
A02:147,1e-06
A02:151,1e-06
A02:188,1e-06
A02:193,1e-06
A02:246,1e-06
A02:254,1e-06
A02:279,1e-06
A02:289,1e-06
A02:311,1e-06
A03:01,0.0131
A03:02,0.0004
A11:01,0.1792
A11:02,0.0072
A11:03,8.9e-05
A11:04,0.0003
A11:12,1e-05
A11:19,3e-06
A11:38,5e-06
A11:39,5e-06
A11:61,3e-06
A11:96,3e-06
A23:01,0.0031
A24:02,0.2399
A24:03,0.0198
A24:04,5.7e-05
A24:05,2e-05
A24:07,0.1347
A24:08,4.1e-05
A24:10,0.0081
A24:15,5e-06
A24:17,0.0002
A24:20,0.0004
A24:25,4e-06
A24:27,1e-05
A24:32,2e-05
A24:37,0.0001
A24:50,5e-06
A24:53,5e-06
A24:82,5e-06
A24:109,5.2e-05
A25:01,0.0012
A25:02,0.0001
A26:01,0.0152
A26:02,2.3e-05
A26:03,9.4e-05
A26:05,1e-05
A26:08,4.9e-05
A26:18,1e-05
A26:52,2e-05
A29:01,0.0008
A29:02,0.0029
A29:03,1e-05
A30:01,0.0045
A30:02,0.0014
A30:04,6.3e-05
A30:09,1e-05
A31:01,0.0059
A31:16,1e-05
A32:01,0.0028
A33:01,0.0015
A33:03,0.0511
A34:01,0.1524
A34:02,0.0011
A34:05,0.003
A36:01,4.9e-05
A43:01,1e-05
A66:01,0.0009
A66:02,0.0002
A66:07,2e-05
A68:01,0.0032
A68:02,0.0009
A68:03,0.0002
A68:05,4e-05
A68:12,2e-05
A69:01,0.0003
A74:01,0.0005
A80:01,8.9e-05
C01:02,0.0465
C01:03,0.0003
C01:08,4.9e-05
C01:16,2.7e-05
C01:17,1.4e-05
C02:02,0.0029
C03:02,0.0402
C03:03,0.0273
C03:04,0.0646
C03:05,6.5e-05
C03:06,2.3e-05
C03:14,1.5e-05
C03:17,1.8e-05
C03:23,2.7e-05
C03:37,5.7e-05
C03:56,2e-05
