allele,frequency
B07:02,0.0584
B07:03,2.7e-05
B07:04,1.7e-05
B07:05,0.0052
B07:07,2.7e-05
B07:08,3e-06
B07:09,9.5e-05
B07:10,7e-06
B07:14,9.2e-05
B07:20,9.5e-05
B07:26,2e-05
B07:36,2e-06
B07:51,2e-06
B07:81,1e-06
B07:124,4e-06
B08:01,0.039
B08:03,3e-06
B08:04,3e-06
B08:18,3e-06
B08:28,2e-06
B08:33,7e-06
B08:35,2e-06
B08:36,3e-06
B13:01,0.0002
B13:02,0.0128
B13:19,3e-06
B14:01,0.0089
B14:02,0.0441
B14:03,0.0003
B14:05,1.4e-05
B15:01,0.0271
B15:02,0.0003
B15:03,0.0129
B15:04,0.0039
B15:05,0.0004
B15:06,1.7e-05
B15:07,0.0004
B15:08,0.0005
B15:09,0.0007
B15:10,0.0055
B15:11,1.7e-05
B15:12,1e-05
B15:13,1e-06
B15:15,0.0043
B15:16,0.0031
B15:17,0.0068
B15:18,0.0021
B15:20,0.0002
B15:21,2.7e-05
B15:23,2e-05
B15:24,0.0002
B15:25,9.2e-05
B15:27,3e-06
B15:29,2.7e-05
B15:30,0.0021
B15:31,0.0001
B15:32,3e-06
B15:33,2e-06
B15:34,3e-06
B15:35,5.1e-05
B15:37,7.2e-05
B15:38,1.7e-05
B15:39,0.0007
B15:40,0.0003
B15:47,6.8e-05
B15:48,0.0002
B15:52,5e-06
B15:54,3e-06
B15:55,1e-05
B15:58,2e-06
B15:61,3e-06
B15:63,2.7e-05
B15:65,3e-06
B15:70,3e-06
B15:75,1e-06
B15:78,2e-06
B15:83,3e-06
B15:105,1e-06
B15:109,4e-06
B15:110,2e-05
B15:114,1.6e-05
B15:123,7e-06
B15:128,2e-06
B15:131,1e-06
B15:132,1e-06
B15:133,1e-06
B15:134,1e-06
B15:135,1e-06
B15:136,1e-06
B15:137,1e-06
B15:138,1e-06
B15:139,1e-06
B15:145,1e-06
B18:01,0.0411
B18:02,1e-05
B18:03,3.1e-05
B18:04,4.8e-05
B18:05,8.2e-05
B18:07,2e-06
B18:11,3e-06
B18:12,3e-06
B18:14,7e-06
B18:25,3e-06
B18:26,2e-06
B18:29,2e-06
B18:61,1e-06
B27:02,0.0019
B27:03,0.0005
B27:04,2.7e-05
B27:05,0.016
B27:06,8.9e-05
B27:07,0.0003
B27:08,0.0002
B27:09,1.7e-05
B27:12,9.9e-05
B27:14,3e-06
B27:19,3e-06
B27:27,7e-06
B35:01,0.0713
B35:02,0.0129
B35:03,0.0147
B35:04,0.0043
B35:05,0.0056
