allele,frequency
B07:02,0.0565
B07:04,7.1e-05
B07:05,0.0099
B07:07,0.0001
B07:09,5.6e-05
B07:10,0.0002
B07:14,3.5e-05
B07:16,7e-06
B07:20,1.4e-05
B07:26,7e-06
B07:35,7e-06
B07:40,1.9e-05
B07:42,7e-06
B07:48,1.4e-05
B07:53,2e-06
B07:115,7e-06
B08:01,0.0536
B08:03,7e-06
B08:07,7e-06
B08:13,7e-06
B08:22,7e-06
B08:37,1.4e-05
B13:01,0.0005
B13:02,0.0319
B14:01,0.0049
B14:02,0.0361
B14:03,9.9e-05
B14:05,7e-06
B14:06,2.1e-05
B15:01,0.0233
B15:02,0.0004
B15:03,0.0051
B15:04,1.4e-05
B15:05,5.6e-05
B15:06,7e-06
B15:07,0.0003
B15:08,0.001
B15:09,0.0011
B15:10,0.0011
B15:11,4.9e-05
B15:13,2.1e-05
B15:16,0.0007
B15:17,0.0148
B15:18,0.003
B15:21,1.4e-05
B15:23,4.9e-05
B15:24,0.0003
B15:25,6.3e-05
B15:27,7e-06
B15:29,0.0007
B15:30,3.9e-05
B15:31,0.0001
B15:33,2.1e-05
B15:37,7e-06
B15:39,2.8e-05
B15:45,7e-06
B15:48,7e-06
B15:55,2.1e-05
B15:71,7e-06
B15:73,8.1e-05
B15:82,7e-06
B15:108,1.4e-05
B15:123,6.3e-05
B15:175,1.4e-05
B15:184,7e-06
B18:01,0.0724
B18:03,0.0003
B18:04,4.9e-05
B18:05,0.0002
B18:06,7e-06
B18:07,9.2e-05
B18:11,4.9e-05
B18:12,7e-06
B18:18,7.1e-05
B18:19,1.4e-05
B18:20,3.5e-05
B18:32,7e-06
B18:33,4.9e-05
B18:37,7e-06
B18:60,7e-06
B27:01,7e-06
B27:02,0.0059
B27:03,0.0004
B27:04,0.0003
B27:05,0.0148
B27:06,1.4e-05
B27:07,0.0019
B27:08,3.5e-05
B27:09,0.0002
B27:10,2.8e-05
B27:12,0.0003
B27:14,2.8e-05
B27:19,4.2e-05
B27:26,7e-06
B35:01,0.0649
B35:02,0.0329
B35:03,0.031
B35:04,1.4e-05
B35:05,7.1e-05
B35:08,0.0181
B35:11,7e-06
B35:12,0.0001
B35:14,4.2e-05
B35:15,7e-06
B35:16,7e-06
B35:17,0.0001
B35:20,4.9e-05
B35:21,1.4e-05
B35:24,1.4e-05
B35:25,2.1e-05
B35:27,7e-06
B35:32,7e-06
B35:37,2.1e-05
B35:38,2.1e-05
B35:41,1.4e-05
B35:43,0.0001
B35:77,7e-06
B35:81,7e-06
B35:84,3e-06
B35:112,7e-06
B35:115,7e-06
B35:150,4e-06
B35:156,3.5e-05
B37:01,0.0111
B37:02,0.0002
B37:04,1.4e-05
B37:10,7e-06
B38:01,0.0369
B38:02,0.0002
B38:09,7e-06
B38:12,7e-06
B39:01,0.0098
B39:02,2.1e-05
B39:03,0.0002
B39:04,1.4e-05
B39:05,0.0003
B39:06,0.0041
B39:08,2.8e-05
B39:09,2.1e-05
B39:10,0.0008
B39:11,2.8e-05
B39:14,7e-06
B39:24,0.0013
B39:29,7e-06
B39:31,0.0002
B40:01,0.0206
B40:02,0.0093
B40:03,2e-06
B40:04,1.4e-05
B40:05,4.2e-05
B40:06,0.0037
B40:07,7e-06
B40:08,4.2e-05
B40:10,7e-06
B40:11,2.1e-05
B40:12,0.0001
B40:16,7e-06
B40:18,3e-06
B40:19,3.5e-05
B40:23,7e-06
B40:26,7e-06
B40:27,1.4e-05
B40:31,1.4e-05
B40:32,7e-06
B40:50,1.4e-05
B40:52,3e-06
B40:136,7e-06
B41:01,0.0269
B41:02,0.0078
B41:06,7e-06
B41:09,7e-06
B41:14,1.4e-05
B42:01,0.0014
B42:02,0.0003
B42:05,7e-06
B44:02,0.0542
B44:03,0.03
B44:04,0.0001
B44:05,0.0041
B44:06,0.0002
B44:08,1.4e-05
B44:09,2.8e-05
B44:10,7e-06
B44:21,4.2e-05
B44:25,5.6e-05
B44:29,0.0001
B44:42,7e-06
B44:51,2.8e-05
B44:60,1.4e-05
B44:83,7e-06
B44:84,7e-06
B45:01,0.0071
B46:01,0.0003
B47:01,0.0034
