allele,frequency
B07:02,0.1005
B07:04,0.0001
B07:05,0.0021
B07:15,1e-05
B07:16,1e-05
B07:23,1e-05
B07:86,1e-05
B07:116,0.0001
B08:01,0.0822
B08:04,3e-05
B08:09,0.0001
B08:10,1e-05
B08:13,6e-05
B08:14,1e-05
B08:18,1e-05
B08:20,1e-05
B08:28,1e-05
B08:38,1e-05
B13:01,0.0002
B13:02,0.0164
B14:01,0.0079
B14:02,0.0204
B14:03,0.0001
B14:06,3e-05
B15:01,0.0616
B15:02,0.0002
B15:03,0.0032
B15:04,1e-05
B15:05,7e-05
B15:07,0.0069
B15:08,0.0003
B15:09,0.0001
B15:10,0.0013
B15:15,6e-05
B15:16,0.0009
B15:17,0.0022
B15:18,0.0025
B15:23,1e-05
B15:24,0.0002
B15:25,6e-05
B15:27,3e-05
B15:29,3e-05
B15:30,3e-05
B15:33,1e-05
B15:35,6e-05
B15:37,1e-05
B15:39,0.0001
B15:45,3e-05
B15:47,3e-05
B15:53,8e-05
B15:63,0.0004
B15:138,3e-05
B15:150,0.0005
B18:01,0.0323
B18:02,1e-05
B18:03,2e-05
B18:04,3e-05
B18:12,1e-05
B18:14,1e-05
B18:26,1e-05
B18:61,1e-05
B27:01,4e-05
B27:02,0.0028
B27:04,0.0001
B27:05,0.0545
B27:06,1e-05
B27:07,0.0002
B27:08,0.0001
B27:09,1e-05
B27:10,1e-05
B27:12,3e-05
B27:14,0.0004
B27:15,1e-05
B27:54,1e-05
B35:01,0.0979
B35:02,0.0045
B35:03,0.0095
B35:04,8e-05
B35:05,0.0001
B35:08,0.0015
B35:11,1e-05
B35:12,0.0008
B35:14,0.0001
B35:16,1e-05
B35:17,0.0003
B35:20,0.0002
B35:27,1e-05
B35:29,3e-05
B35:41,1e-05
B35:43,0.0002
B35:59,7e-05
B35:112,1e-05
B37:01,0.0108
B37:04,1e-05
B38:01,0.0102
B38:02,0.0003
B38:06,0.0001
B39:01,0.0339
B39:02,0.0003
B39:03,3e-05
B39:05,0.0009
B39:06,0.0176
B39:08,0.0001
B39:09,6e-05
B39:10,0.0003
B39:14,1e-05
B39:15,1e-05
B39:24,8e-05
B39:35,1e-05
B40:01,0.0518
B40:02,0.031
B40:05,0.0031
B40:06,0.0006
B40:08,0.0001
B40:11,8e-05
B40:14,1e-05
B40:20,1e-05
B40:23,1e-05
B40:27,6e-05
B40:30,1e-05
B40:33,1e-05
B40:40,1e-05
B40:52,1e-05
B40:90,1e-05
B40:124,2e-05
B40:126,2e-05
B41:01,0.0028
B41:02,0.0031
B42:01,0.0017
B42:02,0.0002
B44:02,0.0744
B44:03,0.0378
B44:04,0.0004
B44:05,0.0014
B44:08,4e-05
B44:09,6e-05
B44:10,3e-05
B44:21,3e-05
B44:24,1e-05
B44:29,1e-05
B44:121,1e-05
B44:126,1e-05
B45:01,0.0063
B46:01,0.0001
B47:01,0.0018
B47:03,4e-05
B48:01,0.0182
B48:02,1e-05
B48:03,6e-05
B48:07,0.0011
B48:15,1e-05
B49:01,0.0145
B50:01,0.0079
B50:02,0.0004
B51:01,0.0678
B51:02,0.0076
B51:05,4e-05
B51:06,7e-05
B51:07,0.0003
B51:08,0.0007
B51:09,0.0013
B51:13,1e-05
B51:14,3e-05
B52:01,0.0066
B53:01,0.0073
B53:02,1e-05
B53:05,1e-05
B55:01,0.0143
B55:02,4e-05
B55:04,1e-05
B55:49,1e-05
B56:01,0.0044
B57:01,0.0268
B57:02,0.0002
B57:03,0.001
B57:04,4e-05
B58:01,0.007
B58:02,0.0018
B59:01,4e-05
B67:01,0.0001
B73:01,8e-05
B78:01,0.0005
B78:04,3e-05
B81:01,0.0005
B82:01,1e-05
B82:02,7e-05
A01:01,0.1202
A01:02,0.0002
A01:03,3e-05
A01:06,4e-05
A01:25,1e-05
A02:01,0.2776
A02:02,0.0014
A02:03,3e-05
A02:04,6e-05
A02:05,0.0072
A02:06,0.0275
A02:07,3e-05
A02:11,0.0003
A02:13,1e-05
A02:17,0.0003
A02:20,6e-05
A02:22,8e-05
A02:24,1e-05
A02:27,1e-05
A02:35,3e-05
A02:40,1e-05
A02:44,4e-05
A02:84,7e-05
A02:123,1e-05
A02:130,1e-05
A02:148,3e-05
A02:211,1e-05
A02:230,3e-05
A02:279,3e-05
A03:01,0.1044
A03:02,0.0015
A03:05,6e-05
A03:09,1e-05
A11:01,0.0488
A11:03,1e-05
A11:04,3e-05
A23:01,0.0181
A24:02,0.1292
A24:03,0.0048
A24:05,1e-05
A24:07,0.0001
A24:08,3e-05
A24:23,0.0012
A24:25,7e-05
A24:28,1e-05
A24:31,1e-05
A24:42,3e-05
A24:167,1e-05
A25:01,0.0148
A25:02,6e-05
A26:01,0.0199
A26:03,1e-05
A26:05,6e-05
A26:07,3e-05
A26:08,0.0009
A26:09,6e-05
A26:21,1e-05
A26:30,1e-05
A29:01,0.0017
A29:02,0.0274
A29:03,3e-05
A29:12,3e-05
A30:01,0.0109
A30:02,0.0116
A30:04,0.0011
A30:07,1e-05
A31:01,0.0737
A31:09,1e-05
A31:24,1e-05
A32:01,0.0254
A32:03,3e-05
A32:04,8e-05
A32:07,1e-05
A32:20,1e-05
A33:01,0.0066
A33:03,0.0039
A33:05,1e-05
A33:12,1e-05
A34:01,0.0002
A34:02,0.0019
A36:01,0.0009
A43:01,1e-05
A66:01,0.0032
A66:02,0.0002
A66:03,4e-05
A68:01,0.0381
A68:02,0.0079
A68:03,0.0016
A68:05,0.0001
A68:06,1e-05
A68:09,1e-05
A68:15,1e-05
A68:28,1e-05
A68:31,1e-05
A68:73,1e-05
A69:01,0.0007
A74:01,0.0023
A74:03,0.0001
A74:07,1e-05
A80:01,0.0007
C01:02,0.0492
C02:02,0.0554
C02:04,0.0001
C02:06,0.0001
C03:02,0.0023
C03:03,0.0417
C03:04,0.1016
C03:05,5e-05
C03:06,0.0001
C03:07,8e-05
C03:16,0.0002
C04:01,0.1312
C04:03,0.0003
C04:04,0.0069
C04:13,4e-05
C05:01,0.0761
C05:08,4e-05
C05:09,4e-05
C05:10,3e-05
C06:02,0.0697
C06:06,3e-05
C06:09,4e-05
C06:38,6e-05
C07:01,0.1172
C07:02,0.151
C07:03,5e-05
C07:04,0.0116
C07:17,4e-05
C07:23,3e-05
C07:170,3e-05
C07:171,2e-05
C07:172,8e-05
C07:173,6e-05
C07:174,4e-05
C07:175,2e-05
C07:176,3e-05
C07:177,3e-05
C07:178,3e-05
C07:179,3e-05
C08:01,0.0222
C08:02,0.0286
C08:03,0.0044
C08:04,0.0002
C08:06,8e-05
C12:02,0.0048
C12:03,0.0265
C12:04,0.0001
C12:19,3e-05
C14:02,0.0135
C14:03,0.0001
C15:02,0.0435
C15:04,6e-05
C15:05,0.002
C15:09,0.0002
C16:01,0.0281
C16:02,0.001
C16:04,0.0002
C17:01,0.0082
C18:01,0.0007
