allele,frequency
B07:02,0.044
B07:05,0.025
B07:10,3e-06
B07:18,5.1e-05
B07:26,1e-06
B07:36,5e-06
B07:48,3e-06
B07:54,8e-06
B07:66,2e-06
B07:70,2e-06
B07:71,4e-06
B07:80,3e-06
B07:96,3e-06
B07:107,5e-06
B07:115,1.6e-05
B08:01,0.0366
B08:12,2e-06
B08:16,1e-06
B08:23,3e-06
B08:53,5e-06
B13:01,0.0136
B13:02,0.0184
B14:01,0.0002
B14:02,0.0017
B14:03,3e-06
B15:01,0.0161
B15:02,0.0256
B15:03,0.0002
B15:04,4.9e-05
B15:05,0.0045
B15:06,8e-06
B15:07,5.1e-05
B15:08,0.0039
B15:09,0.0002
B15:10,0.0002
B15:11,6.4e-05
B15:12,7.6e-05
B15:13,0.0002
B15:15,3e-06
B15:16,3e-05
B15:17,0.0143
B15:18,0.0135
B15:21,2.8e-05
B15:25,0.0051
B15:27,2.4e-05
B15:29,0.0026
B15:32,0.0006
B15:34,1.6e-05
B15:35,4.9e-05
B15:38,7.8e-05
B15:39,3.2e-05
B15:50,3e-06
B15:54,2e-06
B15:64,1.1e-05
B15:65,3e-06
B15:75,7.6e-05
B15:80,3e-06
B15:89,8e-06
B15:106,3e-06
B15:113,2.4e-05
B15:150,2.2e-05
B15:185,3e-06
B18:01,0.0252
B18:02,8.6e-05
B18:07,1e-06
B18:12,3e-06
B18:25,3e-06
B18:29,2e-06
B27:01,3e-06
B27:02,0.0008
B27:03,1.9e-05
B27:04,0.002
B27:05,0.0083
B27:06,9.3e-05
B27:07,0.0051
B27:09,8e-06
B27:43,3e-06
B35:01,0.0622
B35:02,0.0073
B35:03,0.072
B35:04,1e-06
B35:05,0.0006
B35:06,4e-05
B35:08,0.002
B35:09,1e-06
B35:11,5e-06
B35:12,2.2e-05
B35:13,1.6e-05
B35:17,8e-06
B35:18,1e-06
B35:20,1.6e-05
B35:23,1.6e-05
B35:24,5e-06
B35:29,5e-06
B35:31,3e-06
B35:34,8e-06
B35:43,1.1e-05
B35:52,1e-06
B35:68,3e-06
B35:74,5e-06
B35:92,2e-06
B35:93,3e-06
B35:95,3e-06
B35:109,8e-06
B35:132,5e-06
B35:136,5e-06
B35:151,3e-06
B37:01,0.0341
B37:02,5e-06
B37:04,0.0002
B37:22,3e-06
B38:01,0.0028
B38:02,0.0069
B39:01,0.0055
B39:02,1.1e-05
B39:03,8e-06
B39:05,1.9e-05
B39:06,0.0011
B39:08,5e-06
B39:09,0.0002
B39:10,3.8e-05
B39:15,1.1e-05
B39:18,3e-06
B39:24,6.2e-05
B39:31,1.9e-05
B40:01,0.0221
B40:02,0.003
B40:03,7e-06
B40:04,1.9e-05
B40:05,8e-06
B40:06,0.0914
B40:11,3e-06
B40:12,3e-06
B40:19,3e-06
B40:23,0.001
B40:26,9.4e-05
B40:28,3e-06
B40:37,5e-06
B40:43,2e-06
B40:44,1.1e-05
B40:50,0.0003
B40:74,3e-06
B40:80,3e-06
B40:83,5e-06
B40:95,5e-06
B40:110,1.1e-05
B40:128,5e-06
B40:130,3e-06
B40:134,1e-06
B40:146,5e-06
B40:148,1.1e-05
B40:158,3e-06
B41:01,0.0035
B41:02,0.0006
B42:01,0.0001
B42:02,1.6e-05
B44:02,0.0082
B44:03,0.074
B44:04,1e-06
B44:05,4e-05
B44:06,0.0003
B44:10,5e-06
B44:21,3e-06
B44:29,3e-06
B44:37,5e-06
B44:47,1.1e-05
B44:64,5e-06
B44:87,3e-06
B45:01,0.0009
B46:01,0.001
B47:01,0.0006
B48:01,0.0037
B48:03,2.7e-05
B48:04,0.0036
B48:05,3e-06
B48:10,1e-06
B48:12,1e-06
B48:14,1e-06
B49:01,0.0061
B50:01,0.0172
B50:02,8e-06
B50:04,7e-05
B50:07,3e-06
B51:01,0.0747
B51:02,0.0002
B51:03,8e-06
B51:04,1.1e-05
B51:05,1.1e-05
B51:06,0.0071
B51:07,0.0014
B51:08,0.0009
B51:09,4.6e-05
B51:17,2.4e-05
B51:19,0.0002
B51:24,3e-06
B51:34,8e-06
B51:37,1.6e-05
B51:92,3e-06
B52:01,0.0745
B52:04,0.0003
B52:06,3e-06
B52:10,5e-06
B52:11,1.1e-05
B52:16,3e-06
B53:01,0.0013
B53:04,1.9e-05
B53:05,4e-06
B53:09,5.9e-05
B53:16,2e-06
B54:01,0.0003
B55:01,0.0203
B55:02,0.0005
B55:03,1.9e-05
B55:04,1e-06
B55:49,2e-06
B56:01,0.0061
B56:02,3e-06
B56:03,1.6e-05
B56:04,8.7e-05
B56:05,3e-06
B56:10,5e-06
B56:22,3e-05
B57:01,0.0676
B57:02,2.4e-05
B57:03,0.0002
B57:04,3e-06
B58:01,0.042
B58:02,5.7e-05
B58:04,2e-06
B58:09,3e-06
B58:18,1.3e-05
B58:19,8e-06
B58:29,3e-06
B58:32,3e-06
B59:01,1.9e-05
B67:01,4e-05
B73:01,0.0002
B78:01,3.8e-05
B78:02,5e-06
B81:01,5.1e-05
B82:01,5e-06
A01:01,0.1545
A01:02,5e-06
A01:03,8.4e-05
A01:12,4.9e-05
A01:23,5e-06
A01:33,3e-06
A01:43,8e-06
A02:01,0.0492
A02:02,0.0002
A02:03,0.011
A02:05,0.01
A02:06,0.0175
A02:07,0.0006
A02:08,0.0002
A02:10,2.6e-05
A02:11,0.05
A02:12,3e-06
A02:16,0.003
A02:17,2.4e-05
A02:20,0.0011
A02:22,1.3e-05
A02:24,3e-06
A02:35,3e-05
A02:57,1e-06
A02:84,1e-06
A02:108,1e-06
A02:128,3e-06
A02:154,3e-06
A02:300,1e-06
A03:01,0.0636
A03:02,0.0086
A03:04,3e-06
A03:05,1.3e-05
A03:07,3e-06
A03:10,5e-06
A03:13,1e-06
A03:16,1e-06
A03:18,3e-06
A03:32,3e-06
A03:59,2e-06
A03:73,3e-06
A11:01,0.1396
A11:02,0.0001
A11:03,0.0004
A11:04,5e-06
A11:12,3e-06
A11:15,1.1e-05
A11:17,3e-06
A11:19,5.1e-05
A11:22,3e-06
A11:37,5e-06
A11:40,3e-06
A11:44,3.2e-05
A11:58,8e-06
A23:01,0.0066
A23:13,3e-06
A24:02,0.1362
A24:03,0.006
A24:04,3.8e-05
A24:07,0.0112
A24:08,1.7e-05
A24:10,0.0001
A24:13,5.1e-05
A24:15,1e-06
A24:17,0.0087
A24:20,4.3e-05
A24:21,3e-06
A24:27,3e-06
A24:30,3e-06
A24:31,3e-06
A24:53,1e-06
A24:77,3e-06
A24:82,3e-06
A24:97,5e-06
A25:01,0.0001
A26:01,0.0418
A26:02,2.5e-05
A26:03,1.4e-05
A26:05,3.5e-05
A26:07,0.0002
A26:09,3e-06
A26:13,1e-06
A26:14,1.9e-05
A26:17,1.1e-05
A26:18,5e-06
A26:36,3e-06
A29:01,0.0132
A29:02,0.0013
A29:03,5e-06
A29:09,3e-06
A29:10,5e-06
