allele,frequency
B07:02,0.017
B07:05,0.0798
B07:17,5e-06
B07:28,3e-06
B07:96,4e-06
B07:112,1.1e-05
B08:01,0.0048
B13:01,0.0394
B13:02,0.0077
B14:01,0.0002
B14:02,0.0004
B15:01,0.0108
B15:02,0.1383
B15:03,0.0002
B15:05,0.0001
B15:06,2.3e-05
B15:07,8.7e-05
B15:08,9.2e-05
B15:09,1.1e-05
B15:10,0.0016
B15:11,0.0045
B15:12,0.0207
B15:13,0.0023
B15:16,4.6e-05
B15:17,0.0006
B15:18,0.0063
B15:21,0.0012
B15:25,0.0505
B15:27,0.0026
B15:32,6.9e-05
B15:35,0.002
B15:39,1.1e-05
B15:44,1.1e-05
B15:46,2.3e-05
B15:55,1.1e-05
B15:58,2.3e-05
B15:64,2.3e-05
B15:88,5.7e-05
B15:170,2.3e-05
B18:01,0.0108
B18:02,0.0047
B27:02,2e-06
B27:03,1.1e-05
B27:04,0.0113
B27:05,0.0024
B27:06,0.0108
B27:07,0.0002
B27:10,6e-06
B27:15,3.4e-05
B27:20,1.1e-05
B27:53,2e-06
B27:54,6e-06
B27:57,2e-06
B27:75,2e-06
B35:01,0.0101
B35:02,0.0002
B35:03,0.0057
B35:05,0.0251
B35:06,1.1e-05
B35:08,3.4e-05
B35:12,1.1e-05
B35:17,2e-06
B35:20,6e-06
B35:51,5e-06
B35:72,6e-06
B35:113,1e-06
B35:125,3e-06
B37:01,0.0078
B38:01,0.0019
B38:02,0.0584
B39:01,0.0087
B39:05,0.0038
B39:06,8e-05
B39:08,1.1e-05
B39:09,0.0045
B39:10,2.3e-05
B39:15,0.0009
B39:49,1.1e-05
B40:01,0.0533
B40:02,0.0076
B40:03,0.0002
B40:06,0.011
B40:10,2.3e-05
B40:33,1.1e-05
B40:63,1.1e-05
B41:01,0.0009
B41:02,9.2e-05
B42:01,9.2e-05
B42:02,2.3e-05
B44:02,0.0015
B44:03,0.0275
B44:04,2.3e-05
B44:05,3e-06
B44:14,2e-06
B44:43,1.1e-05
B44:51,2e-06
B44:76,1.1e-05
B44:88,4e-06
B45:01,0.0001
B46:01,0.1194
B46:02,1.1e-05
B46:11,6.9e-05
B46:22,2.3e-05
B47:01,6e-06
B47:07,6e-06
B48:01,0.006
B48:03,0.005
B48:04,2.3e-05
B49:01,0.0002
B50:01,0.0021
B51:01,0.0228
B51:02,0.0132
B51:05,4.6e-05
B51:06,0.0012
B51:07,9.2e-05
B51:09,3e-06
B51:19,2e-06
B51:53,2e-06
B51:72,2e-06
B51:73,0.0
B51:87,2e-06
B51:93,3.4e-05
B52:01,0.0086
B53:01,0.0002
B54:01,0.0244
B54:07,1.1e-05
B55:01,0.0008
B55:02,0.019
B55:04,0.0005
B55:12,1.1e-05
B55:41,1.1e-05
B56:01,0.0068
B56:02,1.1e-05
B56:03,0.0004
B56:04,0.0112
B56:10,5.7e-05
B57:01,0.0257
B57:03,6e-06
B57:17,6e-06
B58:01,0.0692
B58:02,6.9e-05
B58:04,4e-06
B58:29,4e-06
B58:32,4e-06
B67:01,0.0002
B73:01,0.0006
B78:02,4.6e-05
B81:01,0.0001
A01:01,0.0332
A01:03,0.0003
A02:01,0.0349
A02:02,0.0003
A02:03,0.0925
A02:04,1e-06
A02:05,0.0009
A02:06,0.0406
A02:07,0.08
A02:10,0.0001
A02:11,0.0011
A02:16,0.0001
A02:17,2.3e-05
A02:20,5.8e-05
A02:25,1.1e-05
A02:35,1.1e-05
A02:58,0.0
A02:64,4.6e-05
A02:79,1.1e-05
A02:157,1e-06
A02:183,1e-06
A02:194,1e-06
A02:210,1e-06
A02:212,1e-06
A02:213,1e-06
A02:224,1e-06
A02:245,1e-06
A02:267,2.3e-05
A02:282,1.1e-05
A02:303,2.3e-05
A03:01,0.0097
A03:02,0.002
A11:01,0.2466
A11:02,0.0244
A11:03,0.0001
A11:04,0.0023
A11:07,6e-06
A11:22,6e-06
A23:01,0.0007
A23:03,6e-06
A23:31,6e-06
A24:02,0.1109
A24:03,0.0098
A24:04,1.1e-05
A24:05,5.7e-05
A24:07,0.0305
A24:08,4.6e-05
A24:10,0.009
A24:17,3.5e-05
A24:20,0.001
A24:30,2.3e-05
A25:01,0.0002
