race_ethnicity_group,nmdp_population_name,estimated_population_size
Black or African American,USA NMDP African American pop 2,38200000
Black or African American,USA NMDP African,2310000
Black or African American,USA NMDP Black South or Central American,197000
Black or African American,USA NMDP Caribbean Black,2050000
Asian,USA NMDP Chinese,4553861
Asian,USA NMDP Filipino,3040000
Asian,USA NMDP Japanese,750192
Asian,USA NMDP Korean,1500000
Asian,USA NMDP South Asian Indian,5780000
Asian,USA NMDP Southeast Asian,1340000
Asian,USA NMDP Vietnamese,1920000
Hispanic or Latino,USA NMDP Mexican or Chicano,37920000
Hispanic or Latino,USA NMDP Hispanic South or Central American,11685181
Hispanic or Latino,USA NMDP Caribbean Hispanic,10981300
White,USA NMDP European Caucasian,192200000
White,USA NMDP Middle Eastern or North Coast of Africa,3919999
Native American,USA NMDP North American Amerindian,1736880
Native American,USA NMDP Alaska Native or Aleut,119946
Native American,USA NMDP American Indian South or Central America,416301
Native Hawaiian or Other Pacific Islander,USA NMDP Hawaiian or other Pacific Islander,631517
Native Hawaiian or Other Pacific Islander,USA NMDP Caribbean Indian,57000
