allele,frequency
B07:02,0.078
B07:03,0.001
B07:05,0.002
B08:01,0.069
B13:01,0.001
B13:02,0.013
B14:01,0.01
B14:02,0.014
B15:01,0.085
B15:02,0.002
B15:03,0.001
B15:07,0.003
B15:10,0.001
B15:17,0.001
B15:18,0.001
B18:01,0.026
B27:02,0.001
B27:05,0.089
B35:01,0.087
B35:02,0.004
B35:03,0.011
B35:08,0.003
B35:12,0.001
B37:01,0.01
B38:01,0.007
B38:02,0.001
B39:01,0.015
B39:06,0.007
B40:01,0.046
B40:02,0.116
B40:05,0.001
B40:06,0.001
B41:01,0.002
B41:02,0.003
B42:01,0.001
B44:02,0.057
B44:03,0.025
B44:05,0.001
B45:01,0.003
B47:01,0.001
B48:01,0.057
B49:01,0.011
B50:01,0.008
B51:01,0.057
B51:02,0.004
B51:07,0.001
B51:08,0.001
B51:09,0.002
B52:01,0.007
B53:01,0.002
B55:01,0.011
B56:01,0.005
B57:01,0.019
B58:01,0.006
B58:25,0.001
A01:01,0.105
A02:01,0.192
A02:02,0.002
A02:05,0.005
A02:06,0.103
A02:07,0.001
A02:281,0.001
A03:01,0.077
A11:01,0.036
A23:01,0.012
A24:02,0.229
A24:03,0.003
A24:23,0.001
A25:01,0.007
A26:01,0.021
A29:01,0.002
A29:02,0.02
A30:01,0.009
A30:02,0.006
A31:01,0.052
A32:01,0.025
A33:01,0.004
A33:03,0.004
A34:01,0.001
A34:02,0.002
A34:05,0.001
A66:01,0.003
A68:01,0.064
A68:02,0.006
A68:03,0.002
A69:01,0.001
A74:01,0.001
C01:02,0.053
C02:02,0.088
C03:02,0.005
C03:03,0.044
C03:04,0.206
C04:01,0.111
C04:04,0.003
C05:01,0.062
C06:02,0.053
C07:01,0.098
C07:02,0.1
C07:04,0.006
C08:01,0.028
C08:02,0.025
C08:03,0.012
C08:06,0.022
C12:02,0.007
C12:03,0.02
C14:02,0.01
C15:02,0.024
C15:04,0.002
C15:05,0.001
C16:01,0.018
C16:04,0.001
C17:01,0.002
