allele,frequency
B07:35,0.0158
B07:75,0.0477
B07:80,0.0005
B07:81,0.0002
B07:85,0.0004
B07:89,0.0004
B07:90,0.0001
B07:91,0.0261
B07:104,0.0002
B07:105,0.0126
B07:109,0.0047
B07:114,0.0023
B07:122,0.0001
B07:128,4.5e-05
B07:140,0.0002
B07:148,0.0008
B07:165,0.0002
B07:168,0.0002
B07:170,0.0001
B08:20,0.0005
B08:34,0.0003
B08:80,5.7e-05
B13:38,0.0315
B15:12,3.7e-05
B15:14,0.0001
B15:27,6.8e-05
B15:30,3.3e-05
B15:53,4.5e-05
B15:93,0.0785
B15:137,0.0068
B15:144,0.0048
B15:157,0.0002
B15:161,0.0032
B15:165,0.0004
B15:167,0.0008
B15:174,0.0002
B15:178,1.9e-05
B15:183,0.0046
B15:188,0.0003
B15:192,0.0001
B15:193,0.0001
B15:198,0.001
B15:202,0.0001
B15:203,0.0002
B15:231,0.008
B15:295,1.9e-05
B15:298,1.9e-05
B15:299,1.9e-05
B15:300,1.9e-05
B15:301,1.9e-05
B15:303,1.9e-05
B27:49,0.0096
B27:57,0.0002
B27:110,0.0061
B35:61,0.0183
B35:77,0.0008
B35:78,0.0002
B35:79,0.0024
B35:91,0.0011
B35:96,2.5e-05
B35:99,0.0009
B35:104,0.0003
B35:191,2.5e-05
B35:224,3.3e-05
B35:236,2e-05
B38:46,0.005
B38:47,0.0051
B39:07,0.0372
B39:54,0.0513
B39:76,0.0001
B39:77,0.0004
B39:86,0.0012
B40:57,4.5e-05
B40:121,0.0376
B40:132,0.0002
B40:208,0.0014
B40:214,0.0001
B40:222,0.0026
B40:229,0.0006
B40:268,0.0274
B41:23,0.0107
B41:28,0.0003
B42:18,0.0371
B44:06,0.0004
B44:09,0.0001
B44:29,0.0001
B44:84,0.0001
B44:151,0.0183
B44:175,0.0001
B46:18,0.0001
B48:08,0.0003
B50:07,0.0033
B50:16,0.0001
B51:05,0.0233
B51:76,0.0281
B51:77,0.0001
B51:146,0.0002
B51:154,0.0003
B51:157,0.0066
B54:18,0.0744
B56:20,0.0083
B56:43,0.0544
B57:25,0.0108
B57:26,0.0004
B57:63,0.0005
A02:22,0.0845
A02:60,0.0007
A02:73,0.0001
A02:240,0.0272
A02:302,0.0001
A03:27,0.0608
A03:114,0.0018
A03:120,0.001
A03:128,0.0001
A03:140,0.0002
A11:140,0.0058
A23:20,0.0003
A23:31,0.0001
A24:41,0.0548
A24:51,0.0522
A24:67,0.0022
A24:71,0.0002
A24:73,0.0001
A24:143,0.0202
A24:164,5.1e-05
A24:165,5.1e-05
A24:170,0.0001
A24:242,0.0157
A26:16,0.0001
A29:03,0.0124
A29:06,0.0068
A29:07,0.0016
A29:25,0.0485
A29:50,0.0477
A30:23,5.1e-05
A30:29,5.1e-05
A31:03,5.1e-05
A31:05,5.1e-05
A31:06,5.1e-05
A31:09,0.0008
A31:11,0.0005
A31:22,0.0044
A31:29,0.071
A31:73,0.0067
A33:10,0.0006
A66:14,2e-05
A68:74,0.0009
A68:81,0.0077
C01:57,0.1996
C02:10,0.0006
C03:06,0.0331
C03:135,0.0799
C04:04,0.1143
C04:43,0.0821
C04:107,0.0003
C04:142,0.0005
C06:112,0.0013
C07:22,0.004
C07:188,0.0018
C07:248,0.0105
C07:270,0.0145
C07:287,0.0011
C08:12,0.0006
C08:38,0.0005
B07:02,0.0375
B07:05,0.0015999999999999999
B07:68,0.0006
B08:01,0.0002
B14:02,0.0002
B15:01,0.002757
B15:02,0.0098
B15:11,6.8e-05
B15:13,6.8e-05
B18:01,0.000117
B27:05,0.0049
B35:01,0.0245
B35:02,0.0001
B35:29,0.015
B35:108,0.0001
B39:01,0.0007
B39:10,0.0056
B40:01,0.00015700000000000002
B40:14,0.0001
B44:03,0.0012
B44:05,0.0009889999999999999
B46:01,0.0856
B48:01,0.0048
B51:01,0.0092
B51:02,0.003
B51:06,0.0012
B51:61,0.0319
B52:01,0.0394
B56:05,0.0161
A03:01,0.0877
A24:02,0.0355
A26:01,0.06359999999999999
A29:02,0.0192
A30:01,0.0007
A30:02,0.0007999999999999999
A31:01,0.039
A68:01,0.00012
C02:02,0.0008
C02:05,0.0007
C04:98,0.005
C07:01,0.0456
C07:31,0.0313
C07:172,0.0164
C08:04,0.0007
C08:72,0.0506
C12:02,0.0193
A29:01,0.028
A68:02,6.1000000000000005e-05
C08:02,0.0945
