allele,frequency
B07:02,0.0568
B07:03,4.3e-05
B07:04,3.5e-05
B07:05,0.0053
B07:09,0.0003
B07:14,5.6e-05
B07:20,2.2e-05
B07:102,4e-06
B08:01,0.0414
B08:03,4e-06
B08:07,4e-06
B08:12,1.7e-05
B13:01,0.0001
B13:02,0.0088
B13:03,4e-06
B14:01,0.0067
B14:02,0.039
B14:03,0.0005
B14:05,7e-06
B14:06,6e-06
B14:21,4e-06
B15:01,0.0234
B15:02,0.0002
B15:03,0.02
B15:04,0.001
B15:05,3e-05
B15:07,0.0004
B15:08,0.0006
B15:09,0.0008
B15:10,0.0105
B15:11,1.3e-05
B15:12,4e-06
B15:13,3e-05
B15:15,0.0008
B15:16,0.0108
B15:17,0.0078
B15:18,0.0072
B15:20,0.0002
B15:21,9e-06
B15:23,9.5e-05
B15:24,0.0001
B15:25,0.0004
B15:29,4e-06
B15:30,0.0007
B15:31,0.0002
B15:33,1.3e-05
B15:35,1.7e-05
B15:37,7.4e-05
B15:38,4.8e-05
B15:39,9.2e-05
B15:40,0.0021
B15:47,0.0001
B15:48,2.6e-05
B15:52,9e-06
B15:54,9e-06
B15:56,9e-06
B15:69,4e-06
B15:108,4e-06
B15:123,9e-06
B18:01,0.0427
B18:02,4e-06
B18:03,6.9e-05
B18:04,0.0003
B18:05,1.3e-05
B18:06,1.3e-05
B18:07,1.7e-05
B27:01,2e-06
B27:02,0.0035
B27:03,0.0003
B27:04,2.8e-05
B27:05,0.0172
B27:06,1.3e-05
B27:07,0.0005
B27:08,9.5e-05
B27:10,2e-06
B27:12,9.5e-05
B27:18,4e-06
B27:27,2e-06
B27:39,4e-06
B27:49,3e-06
B27:54,2e-06
B27:78,2e-06
B27:79,2.8e-05
B35:01,0.0479
B35:02,0.0159
B35:03,0.0238
B35:04,0.0033
B35:05,0.0018
B35:06,0.0006
B35:08,0.0041
B35:09,1.3e-05
B35:10,0.0001
B35:11,0.0011
B35:12,0.0081
B35:14,0.0001
B35:16,2.6e-05
B35:17,0.0005
B35:19,9e-06
B35:20,0.0011
B35:21,0.0001
B35:22,0.0001
B35:23,5.2e-05
B35:24,1.7e-05
B35:26,9e-06
B35:27,1e-06
B35:28,9e-06
B35:29,2e-06
B35:30,4e-06
B35:31,9.1e-05
B35:32,9e-06
B35:34,8.7e-05
B35:43,0.0019
B35:44,2.2e-05
B35:47,4e-06
B35:48,4e-06
B35:52,1e-06
B35:55,4e-06
B35:59,4e-06
B35:68,4e-06
B35:121,4e-06
B37:01,0.0088
B37:04,4e-06
B37:07,1.7e-05
B38:01,0.0182
B38:02,9.1e-05
B38:05,4e-06
B38:11,4e-06
B39:01,0.0074
B39:02,0.0011
B39:03,9.5e-05
B39:04,3e-06
B39:05,0.0109
B39:06,0.0055
B39:07,3.5e-05
B39:08,0.0003
B39:09,0.0004
B39:10,0.001
B39:11,0.0003
B39:12,5.6e-05
B39:13,0.0005
B39:14,4.8e-05
B39:20,9e-06
B39:22,2.6e-05
B39:24,5.2e-05
B39:31,1e-06
B39:37,4e-06
B40:01,0.017
B40:02,0.0301
B40:03,0.0006
B40:04,0.0043
B40:05,0.0002
B40:06,0.0009
B40:08,0.0004
B40:09,4e-06
B40:10,4e-06
B40:11,0.0001
B40:12,5.2e-05
B40:16,6.1e-05
B40:19,4e-06
B40:20,3.9e-05
B40:25,4e-06
B40:27,0.0002
B40:43,9e-06
B40:64,9e-06
B40:79,4e-06
B40:89,4e-06
B40:99,4e-06
B40:107,4e-06
B41:01,0.0099
B41:02,0.0092
B41:03,5.6e-05
B41:07,3.5e-05
B42:01,0.0144
B42:02,0.0031
B44:02,0.0424
B44:03,0.0894
B44:04,0.0002
B44:05,0.0008
B44:06,3.5e-05
B44:09,4e-06
B44:10,0.0001
B44:21,3e-05
B44:29,1.3e-05
B44:30,9e-06
B44:64,4e-06
B44:82,4e-06
B44:120,1.7e-05
B45:01,0.0263
B45:04,4e-06
B46:01,0.0002
B47:01,0.0024
B47:03,1.7e-05
B48:01,0.0021
B48:02,0.0023
B48:03,2.7e-05
B48:06,4e-06
B48:07,4e-06
B48:12,1.7e-05
B48:13,9e-06
B48:16,4e-06
B49:01,0.0264
B50:01,0.0207
B50:02,0.0017
B51:01,0.0638
B51:02,0.001
B51:03,4e-06
B51:04,2.6e-05
B51:05,2.2e-05
B51:06,9e-06
B51:07,0.0005
B51:08,0.0039
B51:09,0.0001
B51:10,8.7e-05
B51:13,3.9e-05
B51:14,4e-06
B51:22,4.8e-05
B51:31,4e-06
B52:01,0.0213
B52:02,9e-06
B53:01,0.0287
B53:02,4e-06
B53:05,4e-06
B54:01,3.5e-05
B55:01,0.0087
B55:02,4.8e-05
B56:01,0.0073
B56:02,2e-06
B56:04,2e-06
B57:01,0.0153
B57:02,0.0012
B57:03,0.0258
B57:04,0.0002
B57:25,4e-06
B58:01,0.0233
B58:02,0.007
B59:01,4e-06
B67:01,0.0001
B73:01,0.0009
B78:01,0.0036
B78:02,4.3e-05
B81:01,0.003
B82:01,0.0004
B82:02,1.3e-05
A01:01,0.0666
A01:02,0.0021
A01:03,6.1e-05
A01:06,4e-06
A01:17,4e-06
A01:24,1.3e-05
A02:01,0.1688
A02:02,0.0184
A02:03,0.0001
A02:04,0.0089
A02:05,0.0223
A02:06,0.0024
A02:07,2.6e-05
A02:11,0.0059
A02:12,2e-06
A02:13,8.9e-05
A02:14,9e-06
A02:17,0.0098
A02:20,0.0027
A02:22,0.0014
A02:30,4e-06
A02:33,1.7e-05
A02:35,4e-06
A02:44,9e-06
A02:49,2e-06
A02:51,4e-06
A02:60,3.5e-05
A02:63,2e-06
A02:64,4e-06
A02:87,4e-06
A02:102,2e-06
A02:110,0.0001
A02:112,4e-06
A02:122,1.7e-05
A02:136,1.3e-05
A02:268,5.2e-05
A03:01,0.0863
A03:02,0.0012
A03:04,2.6e-05
A03:05,2.6e-05
A03:07,7.4e-05
A03:08,9e-06
A11:01,0.0412
A11:02,1.5e-05
A11:03,4e-06
A11:05,4e-06
A11:08,6.9e-05
A11:12,4e-06
A23:01,0.054
A23:02,9e-06
A23:04,1.3e-05
A23:05,8.2e-05
A24:02,0.0938
A24:03,0.0052
A24:04,9e-06
A24:05,0.0009
A24:07,0.0001
A24:08,2e-06
A24:10,4e-06
A24:13,9e-06
A24:14,4.3e-05
A24:20,1e-06
A24:22,1.6e-05
A24:23,4e-06
A24:25,0.0004
A24:26,6.1e-05
A24:28,1.3e-05
A24:32,4e-06
A24:38,1e-06
A24:42,2e-06
A24:50,4e-06
A24:53,1.3e-05
A24:55,4e-06
A24:69,1e-06
A24:88,1e-06
A24:109,9e-06
A25:01,0.0073
A26:01,0.03
A26:02,4e-06
A26:05,9e-06
A26:07,1.3e-05
A26:08,0.0008
A26:12,9e-06
A26:17,1e-06
A26:20,4e-06
A26:23,1e-06
A26:27,4e-06
A26:40,4e-06
A26:54,1e-06
A29:01,0.0009
A29:02,0.0607
A29:03,1.3e-05
A29:09,4e-06
A29:10,4e-06
A30:01,0.0294
A30:02,0.0317
A30:04,0.0067
A30:07,9e-06
A30:08,9e-06
A30:09,9e-06
A30:10,0.0032
A30:47,4e-06
A31:01,0.0289
A31:02,4.7e-05
A31:03,9e-06
A31:04,9e-06
A31:06,4e-06
A31:09,2e-06
A31:15,9e-06
A31:40,2e-06
A32:01,0.0337
A32:02,4e-06
A32:03,4e-06
A32:04,9e-06
A32:21,4e-06
A33:01,0.0273
A33:03,0.0149
A33:05,4e-06
A34:01,3.9e-05
A34:02,0.0084
A36:01,0.004
A36:03,2.2e-05
