allele,frequency
B07:02,0.051
B07:05,0.006
B07:09,0.001
B08:01,0.035
B13:01,0.001
B13:02,0.007
B14:01,0.005
B14:02,0.032
B14:03,0.001
B15:01,0.021
B15:02,0.002
B15:03,0.024
B15:04,0.001
B15:05,0.001
B15:07,0.001
B15:08,0.001
B15:10,0.011
B15:16,0.015
B15:17,0.008
B15:18,0.009
B15:25,0.001
B15:40,0.003
B15:150,0.001
B18:01,0.035
B27:02,0.002
B27:05,0.016
B27:07,0.001
B35:01,0.044
B35:02,0.017
B35:03,0.03
B35:04,0.003
B35:05,0.002
B35:06,0.001
B35:08,0.004
B35:11,0.001
B35:12,0.008
B35:20,0.001
B35:43,0.001
B37:01,0.01
B38:01,0.016
B38:02,0.001
B39:01,0.01
B39:02,0.001
B39:05,0.007
B39:06,0.005
B39:10,0.001
B40:01,0.015
B40:02,0.028
B40:03,0.001
B40:04,0.004
B40:06,0.01
B41:01,0.01
B41:02,0.009
B42:01,0.017
B42:02,0.002
B44:02,0.031
B44:03,0.095
B44:05,0.001
B45:01,0.026
B47:01,0.002
B48:01,0.002
B48:02,0.003
B49:01,0.022
B50:01,0.02
B50:02,0.001
B51:01,0.062
B51:06,0.001
B51:08,0.004
B52:01,0.032
B53:01,0.032
B55:01,0.007
B56:01,0.009
B57:01,0.02
B57:02,0.002
B57:03,0.031
B58:01,0.026
B58:02,0.009
B73:01,0.001
B78:01,0.004
B81:01,0.004
A01:01,0.063
A01:02,0.002
A02:01,0.145
A02:02,0.022
A02:03,0.002
A02:04,0.008
A02:05,0.022
A02:06,0.004
A02:11,0.011
A02:17,0.011
A02:20,0.002
A02:22,0.001
A03:01,0.081
A03:02,0.002
A11:01,0.044
A11:03,0.001
A23:01,0.058
A24:02,0.095
A24:03,0.005
A24:05,0.001
A24:07,0.001
A25:01,0.005
A26:01,0.027
A26:08,0.001
A29:01,0.001
A29:02,0.056
A30:01,0.03
A30:02,0.031
A30:04,0.008
A30:10,0.002
A31:01,0.029
A32:01,0.029
A33:01,0.023
A33:03,0.029
A34:02,0.009
A36:01,0.006
A66:01,0.01
A66:02,0.002
A66:03,0.001
A68:01,0.043
A68:02,0.049
A68:03,0.002
A69:01,0.002
A74:01,0.018
A80:01,0.003
C01:02,0.025
C02:02,0.064
C03:02,0.014
C03:03,0.025
C03:04,0.045
C03:05,0.012
C04:01,0.152
C04:03,0.001
C05:01,0.036
C06:02,0.078
C07:01,0.14
C07:02,0.073
C07:04,0.011
C08:01,0.003
C08:02,0.037
C08:03,0.001
C08:04,0.004
C12:02,0.022
C12:03,0.041
C14:02,0.029
C15:02,0.04
C15:05,0.01
C16:01,0.083
C16:02,0.018
C17:01,0.029
C18:01,0.005
