allele,frequency
B07:02,0.0079
B07:04,5e-06
B07:05,0.0083
B07:14,5e-06
B08:01,0.0046
B13:01,0.0635
B13:02,0.0291
B13:06,5e-05
B13:20,1e-05
B13:21,1e-05
B14:01,0.0002
B14:02,0.001
B15:01,0.03
B15:02,0.0647
B15:03,0.0007
B15:05,0.0004
B15:06,4.5e-05
B15:07,0.0016
B15:08,0.0001
B15:09,1e-05
B15:10,0.0001
B15:11,0.0091
B15:12,0.0028
B15:13,0.0006
B15:15,1.5e-05
B15:16,1.5e-05
B15:17,0.0008
B15:18,0.0093
B15:20,5e-06
B15:21,0.0002
B15:24,3e-06
B15:25,0.0074
B15:27,0.0112
B15:29,0.0001
B15:30,1e-05
B15:31,5e-05
B15:32,0.0003
B15:35,0.0001
B15:38,1.5e-05
B15:39,3.5e-05
B15:40,5e-06
B15:46,0.0002
B15:58,0.0004
B15:63,5e-06
B15:65,5e-06
B15:66,2e-05
B15:68,5.5e-05
B15:86,2e-06
B15:88,2e-05
B15:109,1e-05
B15:143,5e-06
B15:150,3e-05
B15:157,2e-06
B15:178,5e-06
B15:188,2e-06
B15:223,1.5e-05
B15:224,1e-06
B18:01,0.0026
B18:02,0.0015
B18:03,5e-06
B18:14,5e-06
B27:02,7e-05
B27:04,0.0191
B27:05,0.0035
B27:06,0.001
B27:07,0.0007
B27:09,2e-06
B27:14,5e-06
B27:15,0.0001
B27:18,4.5e-05
B27:24,7.5e-05
B27:25,2e-05
B27:34,1e-06
B27:36,2.5e-05
B27:40,5e-06
B27:42,1e-05
B27:46,1e-06
B27:78,1e-06
B35:01,0.0223
B35:02,0.0007
B35:03,0.0079
B35:04,1.5e-05
B35:05,0.0054
B35:06,5e-06
B35:08,0.0005
B35:11,1.5e-05
B35:12,3e-06
B35:14,5e-06
B35:15,1e-06
B35:17,1e-05
B35:20,5e-06
B35:24,3e-06
B35:27,1e-06
B35:29,1e-06
B35:30,3e-05
B35:43,5e-06
B35:52,1e-06
B35:92,1e-06
B35:102,5e-06
B35:109,2e-06
B35:149,2e-06
B35:150,1e-06
B35:151,1e-06
B35:152,1e-06
B35:154,1e-06
B35:155,1e-06
B35:156,1e-06
B35:157,1e-06
B35:158,1e-06
B35:159,1e-06
B37:01,0.006
B37:04,2.5e-05
B38:01,0.0041
B38:02,0.04
B38:15,5e-06
B38:20,5e-06
B39:01,0.0193
B39:02,2.5e-05
B39:03,3e-05
B39:04,6e-06
B39:05,0.002
B39:06,9.5e-05
B39:08,5e-06
B39:09,0.0009
B39:10,1.5e-05
B39:12,2e-06
B39:15,0.0002
B39:24,2e-06
B39:28,3e-06
B39:31,2e-06
B39:36,1e-05
B40:01,0.1538
B40:02,0.0173
B40:03,0.0013
B40:05,2.5e-05
B40:06,0.0172
B40:08,5e-06
B40:10,3.3e-05
B40:11,3e-05
B40:15,2e-06
B40:16,3e-06
B40:21,2e-06
B40:27,5e-06
B40:33,1e-05
B40:36,5e-06
B40:40,0.0003
B40:44,5e-06
B40:48,3.5e-05
B40:63,1e-05
B40:67,3e-06
B40:76,2e-05
B40:78,5e-06
B40:89,5e-06
B40:117,5e-06
B40:126,3.5e-05
B40:134,1e-05
B40:137,3e-06
B40:153,2e-06
B41:01,0.0004
B41:02,5.5e-05
B42:01,7e-05
B42:02,2.5e-05
B44:02,0.0038
B44:03,0.014
B44:04,5e-06
B44:05,4.5e-05
B45:01,0.002
B46:01,0.1343
B46:08,5e-06
B46:21,5e-06
B47:01,7e-05
B47:04,5e-06
B48:01,0.0131
B48:03,0.0048
B48:04,6.3e-05
B49:01,0.0006
B50:01,0.0027
B50:02,5e-06
B51:01,0.0457
B51:02,0.0122
B51:06,0.0001
B51:07,0.0008
B51:08,0.0001
B51:09,1.8e-05
B51:36,2e-05
B51:39,5e-06
B51:40,1e-05
B51:73,1.7e-05
B52:01,0.0134
B52:12,5e-06
B53:01,0.0003
B54:01,0.0304
B54:03,5e-06
B54:12,5e-06
B55:01,0.0008
B55:02,0.0276
B55:04,0.0005
B55:07,0.0002
B55:12,0.0001
B55:21,1e-05
B55:34,5e-06
B56:01,0.0061
B56:02,5e-06
B56:03,0.0018
B56:04,0.0014
B56:05,5e-06
B56:09,2e-06
B56:10,0.0001
B56:11,3e-06
B56:14,1.5e-05
B56:21,5e-06
B56:23,5e-06
B57:01,0.0051
B57:02,1.5e-05
B57:03,6.5e-05
B57:05,2e-06
B57:40,3e-06
B58:01,0.0874
B58:02,3.5e-05
B58:04,2e-05
B58:27,5e-06
B59:01,0.0006
B67:01,0.0041
B73:01,7e-05
B78:01,2.5e-05
B81:01,0.0011
A01:01,0.0145
A01:03,7e-05
A02:01,0.0946
A02:02,0.0001
A02:03,0.0774
A02:05,0.0014
A02:06,0.0349
A02:07,0.0948
A02:08,5e-06
A02:10,0.0011
A02:11,0.0002
A02:17,1e-05
A02:20,2.9e-05
A02:22,3e-05
A02:28,2e-05
A02:29,1e-06
A02:31,1e-06
A02:34,2e-06
A02:35,2e-06
A02:36,3e-06
A02:38,5e-06
A02:42,1e-06
A02:45,3e-06
A02:48,4.5e-05
A02:59,1e-06
A02:62,2e-06
A02:64,5e-06
A02:90,1e-05
A02:93,5e-06
A02:108,5e-06
A02:129,5e-06
A02:167,1.5e-05
A02:171,5e-06
A02:183,7.5e-05
A02:189,5e-06
A02:195,3e-06
A02:255,3e-06
A02:280,1e-05
A02:282,1e-05
A03:01,0.014
A03:02,0.0006
A03:13,3e-06
A03:16,3e-06
A11:01,0.2752
A11:02,0.0263
A11:03,6.5e-05
A11:04,4.5e-05
A11:06,5e-06
A11:07,2e-06
A11:08,2e-06
A11:12,1e-05
A11:14,5e-06
A11:15,5e-06
A11:16,5e-06
A11:19,5e-06
A11:23,2e-06
A11:24,2e-06
A11:25,2e-06
A11:31,2e-06
A11:32,5e-06
A11:44,2e-06
A11:54,2e-06
A11:57,5e-06
A11:65,2e-06
A23:01,0.0021
A24:02,0.1519
A24:03,0.0014
A24:04,0.0001
A24:07,0.0045
A24:08,0.0003
A24:10,0.0018
A24:17,3.3e-05
A24:20,0.0014
A24:30,1.5e-05
A24:64,4e-05
A24:131,5e-06
A25:01,0.0002
A26:01,0.0237
A26:02,0.0001
A26:03,0.0001
A26:08,3e-06
A26:14,5e-06
A26:18,1.5e-05
A26:20,4.5e-05
A26:33,1e-05
A26:35,5e-06
A26:67,3e-06
A29:01,0.0076
A29:02,0.001
A29:03,5e-06
A29:20,5e-06
A30:01,0.0274
A30:02,0.0003
A30:04,0.0002
A30:18,2e-05
A31:01,0.0242
A31:02,5e-06
A31:03,3e-06
A31:04,3e-06
A31:06,2e-05
A31:13,2.5e-05
A31:17,5e-06
A32:01,0.0062
A33:01,0.0005
A33:03,0.1011
A33:06,5e-06
A33:08,5e-06
A33:10,5e-06
A34:01,0.0011
A34:02,1.6e-05
A34:04,1.5e-05
A34:05,5.2e-05
A36:01,3.5e-05
A36:02,1e-05
A66:01,0.0002
A66:02,3e-06
A66:03,3e-06
A68:01,0.004
A68:02,0.0001
A68:05,5e-06
A68:07,2e-06
A68:17,2e-06
A68:20,5e-06
A68:24,3.5e-05
A68:27,2e-06
A69:01,0.001
A74:01,0.0014
A74:03,3e-06
A74:05,3e-05
A80:01,1e-05
C01:02,0.1915
C01:03,0.0014
C01:06,0.0002
C01:08,8.8e-05
C01:17,2e-05
C02:02,0.0036
C03:02,0.0874
C03:03,0.0473
C03:04,0.1165
C03:07,1.3e-05
C03:17,0.0001
C03:21,1.8e-05
C03:36,5.6e-05
C03:39,2e-05
C03:56,1.4e-05
C03:57,1.7e-05
C04:01,0.0434
C04:03,0.0112
C04:04,1.6e-05
C04:06,9.9e-05
C04:10,4.2e-05
C05:01,0.0036
C06:02,0.0447
C07:01,0.0101
C07:02,0.1944
C07:03,1.6e-05
C07:04,0.0064
C07:15,9e-06
C07:17,2e-05
C07:27,2.6e-05
C07:43,3.3e-05
C07:56,4.3e-05
C08:01,0.1043
C08:02,0.0012
C08:03,0.004
C08:06,1.8e-05
C08:27,1.3e-05
C08:41,0.0001
C12:02,0.0307
C12:03,0.0176
C12:04,4e-05
C12:09,2e-05
C14:02,0.0406
C14:03,0.0042
C15:02,0.0256
C15:04,4.2e-05
C15:05,0.0074
C15:11,2.4e-05
C15:12,2.7e-05
C15:18,1.7e-05
C15:21,1e-05
C15:45,1.6e-05
C16:01,0.0002
C16:02,0.0007
C16:04,0.0002
C17:01,0.0005
C18:01,3.7e-05
