allele,frequency
B07:02,0.0287
B07:03,4.3e-05
B07:05,0.0052
B07:14,4.3e-05
B07:22,4.3e-05
B07:33,1e-05
B07:42,1.6e-05
B07:107,9e-06
B07:122,9e-06
B08:01,0.0213
B13:01,0.0199
B13:02,0.0049
B13:06,4.3e-05
B13:12,4.3e-05
B14:01,0.0028
B14:02,0.0092
B15:01,0.0201
B15:02,0.0081
B15:03,0.0013
B15:05,0.0005
B15:06,0.0106
B15:07,9.2e-05
B15:08,0.0002
B15:10,0.0005
B15:11,0.0003
B15:12,8.7e-05
B15:13,0.0067
B15:15,0.0002
B15:16,0.0005
B15:17,0.0027
B15:18,0.0018
B15:21,0.0332
B15:25,0.0011
B15:27,0.0005
B15:29,4.3e-05
B15:30,2.2e-05
B15:31,1.7e-05
B15:32,0.0002
B15:35,0.0101
B15:39,4.3e-05
B15:88,2.6e-05
B15:128,2.2e-05
B15:141,4.3e-05
B18:01,0.0168
B18:02,0.0025
B18:03,4.3e-05
B18:05,4.3e-05
B18:06,4.3e-05
B18:12,4.3e-05
B27:02,0.0004
B27:03,4.3e-05
B27:04,0.006
B27:05,0.0076
B27:06,0.0034
B27:07,0.0003
B27:10,2.2e-05
B27:54,2.2e-05
B35:01,0.0203
B35:02,0.0045
B35:03,0.0077
B35:04,4.3e-05
B35:05,0.0563
B35:06,4.3e-05
B35:08,0.0015
B35:11,8.7e-05
B35:12,0.0006
B35:14,8.7e-05
B35:17,0.0001
B35:20,2.2e-05
B35:22,0.0003
B35:27,4.3e-05
B35:30,4.3e-05
B35:34,4.3e-05
B35:43,0.0003
B35:51,4.3e-05
B35:72,2.2e-05
B37:01,0.0045
B37:04,4.3e-05
B38:01,0.0034
B38:02,0.0174
B39:01,0.0393
B39:02,0.0001
B39:03,8.7e-05
B39:04,1.6e-05
B39:05,0.007
B39:06,0.0013
B39:08,0.0011
B39:09,0.0005
B39:10,0.0002
B39:12,2.8e-05
B39:15,0.0002
B39:20,4.3e-05
B39:23,0.0001
B39:24,0.0001
B40:01,0.1543
B40:02,0.0482
B40:03,0.0002
B40:05,0.0004
B40:06,0.0068
B40:07,4.3e-05
B40:08,0.0004
B40:10,0.0218
B40:11,0.0005
B40:23,4.3e-05
B40:50,4.3e-05
B41:01,0.0076
B41:02,0.0011
B41:07,4.3e-05
B42:01,0.0004
B44:02,0.0173
B44:03,0.028
B44:04,4.3e-05
B44:05,0.0003
B44:79,4.3e-05
B45:01,0.0053
B46:01,0.0104
B47:01,0.0003
B48:01,0.0694
B48:02,4.3e-05
B48:03,0.0002
B49:01,0.0049
B50:01,0.0033
B50:02,0.0008
B51:01,0.0236
B51:02,0.0015
B51:05,8.7e-05
B51:06,0.0102
B51:07,8.7e-05
B51:08,0.0003
B51:09,2.2e-05
B51:42,8.7e-05
B51:73,2.2e-05
B52:01,0.0103
B52:04,4.3e-05
B53:01,0.004
B54:01,0.0034
B55:01,0.0055
B55:02,0.0502
B55:04,2.2e-05
B55:18,0.0003
B55:49,2.2e-05
B56:01,0.0261
B56:02,0.0115
B56:03,0.0002
B56:04,0.0406
B56:10,4.3e-05
B57:01,0.0161
B57:02,8.7e-05
B57:03,0.0007
B58:01,0.0145
B58:02,0.0005
B58:04,1.9e-05
B58:29,1.6e-05
B58:32,9e-06
B59:01,0.0007
B67:01,0.0003
B73:01,8.7e-05
B78:01,0.0002
B81:01,0.0002
B82:01,4.3e-05
A01:01,0.0447
