allele,frequency
B07:02,0.0588
B07:04,2e-05
B07:05,0.0007
B08:01,0.0051
B13:01,0.0111
B13:02,0.0037
B14:01,0.0007
B14:02,0.0012
B15:01,0.0769
B15:02,0.0006
B15:03,0.0001
B15:05,2e-05
B15:07,0.0047
B15:08,0.0002
B15:09,2e-05
B15:10,0.0002
B15:15,8e-05
B15:17,0.0002
B15:18,0.0154
B15:24,3e-05
B15:25,0.0002
B15:27,0.001
B15:35,0.0001
B15:45,1e-05
B15:63,4e-05
B18:01,0.0021
B27:02,0.0002
B27:04,0.002
B27:05,0.0023
B27:06,6e-05
B27:07,4e-05
B35:01,0.0869
B35:02,0.0004
B35:03,0.0005
B35:04,3e-05
B35:05,0.0005
B35:08,0.0001
B35:11,4e-05
B35:12,1e-05
B35:17,1e-05
B35:20,2e-05
B37:01,0.0048
B38:01,0.001
B38:02,0.0033
B39:01,0.0303
B39:02,0.0033
B39:05,8e-05
B39:06,0.0002
B39:09,4e-05
B39:10,1e-05
B39:15,2e-05
B40:01,0.0603
B40:02,0.0766
B40:05,0.0001
B40:06,0.0445
B40:08,4e-05
B40:11,6e-05
B40:20,2e-05
B40:27,1e-05
B41:01,0.0004
B41:02,0.0001
B42:01,6e-05
B44:02,0.0075
B44:03,0.0605
B44:04,2e-05
B44:05,0.0001
B45:01,0.0004
B46:01,0.041
B47:01,6e-05
B48:01,0.0271
B48:03,4e-05
B49:01,0.0005
B50:01,0.0005
B50:02,8e-05
B51:01,0.089
B51:02,0.0026
B51:05,2e-05
B51:06,4e-05
B51:07,0.0001
B51:08,2e-05
B51:09,7e-05
B52:01,0.099
B53:01,0.0003
B55:01,0.001
B55:02,0.0272
B55:04,0.0009
B56:01,0.0093
B57:01,0.0013
B57:02,2e-05
B57:03,2e-05
B58:01,0.0076
B59:01,0.0224
B67:01,0.0091
B78:01,6e-05
B81:01,8e-05
A01:01,0.01
A02:01,0.148
A02:02,4e-05
A02:03,0.0014
A02:05,0.0006
A02:06,0.0748
A02:07,0.02
A02:20,9e-05
A03:01,0.009
A03:02,0.001
A11:01,0.0874
A11:04,2e-05
A23:01,0.0011
A24:02,0.353
A24:03,0.0001
A24:07,0.0007
A24:08,0.0003
A24:25,0.0001
A24:28,4e-05
A25:01,0.0007
A25:02,2e-05
A26:01,0.0798
A26:03,0.0233
A26:05,0.0008
A29:01,0.0003
A29:02,0.0018
A30:01,0.0019
A30:02,0.0006
A30:04,0.0003
A31:01,0.0849
A31:24,2e-05
A32:01,0.0017
A33:01,0.0002
A33:03,0.0648
A34:01,0.0006
A36:01,6e-05
A66:01,0.0001
A68:01,0.0017
A68:02,0.0003
A68:03,1e-05
A69:01,8e-05
A74:01,0.0001
C01:02,0.1732
C02:02,0.0015
C03:02,0.0076
C03:03,0.1485
C03:04,0.1269
C04:01,0.0404
C04:03,0.0003
C04:04,7e-05
C05:01,0.0072
C06:02,0.0105
C07:01,0.0073
C07:02,0.1218
C07:04,0.0094
C08:01,0.0682
C08:02,0.0019
C08:03,0.0129
C08:04,0.0001
C12:02,0.1
C12:03,0.0019
C12:04,7e-05
C14:02,0.0781
C14:03,0.0576
C15:02,0.0196
C15:04,5e-05
C15:05,0.0005
C16:01,0.0016
C16:02,0.0001
C17:01,0.0007
