allele,frequency
B07:02,0.0344
B07:05,0.0066
B07:07,4e-06
B07:18,3e-06
B07:43,1.9e-05
B07:113,1.3e-05
B07:117,7e-06
B08:01,0.0048
B13:01,0.0216
B13:02,0.0321
B13:03,6e-06
B13:11,6e-06
B14:01,0.0122
B14:02,0.0002
B15:01,0.0839
B15:02,0.0034
B15:03,5.2e-05
B15:05,1.3e-05
B15:06,6e-06
B15:07,0.0105
B15:08,5.2e-05
B15:10,0.0001
B15:11,0.0184
B15:13,3.2e-05
B15:15,9.7e-05
B15:17,0.0005
B15:18,0.0135
B15:21,6e-06
B15:25,0.0004
B15:27,0.0033
B15:28,1.9e-05
B15:29,6e-06
B15:30,1.9e-05
B15:32,2.6e-05
B15:35,7.4e-05
B15:38,0.0013
B15:39,2.6e-05
B15:40,6e-06
B15:46,2e-06
B15:52,6e-06
B15:53,1e-06
B15:58,1.9e-05
B15:65,6e-06
B15:68,1.9e-05
B15:85,1.3e-05
B15:87,6e-06
B15:202,1e-06
B15:212,2e-06
B18:01,0.0006
B27:02,5.8e-05
B27:04,0.0023
B27:05,0.0249
B27:06,8.2e-05
B27:07,7.7e-05
B27:12,6e-06
B27:20,0.0002
B27:49,1.3e-05
B35:01,0.0599
B35:02,0.0003
B35:03,0.0046
B35:04,1.3e-05
B35:05,6.3e-05
B35:06,1.3e-05
B35:08,9.7e-05
B35:17,2.6e-05
B35:21,6e-06
B35:23,6e-06
B35:30,1.3e-05
B35:31,0.0001
B35:34,2.6e-05
B35:39,6e-06
B35:102,2.6e-05
B37:01,0.0158
B37:05,5.8e-05
B38:01,0.0012
B38:02,0.0096
B38:06,3e-06
B38:07,3e-06
B39:01,0.0146
B39:02,1e-05
B39:03,3e-06
B39:04,0.0004
B39:05,0.0001
B39:06,5.8e-05
B39:07,6e-06
B39:09,1e-05
B39:10,3.2e-05
B39:14,3e-06
B39:15,1.3e-05
B39:18,3e-06
B39:23,1e-05
B39:24,2.6e-05
B39:35,3e-06
B40:01,0.042
B40:02,0.0467
B40:03,0.0068
B40:04,6e-06
