allele,frequency
B07:02,0.0574
B07:04,3.8e-05
B07:05,0.0049
B07:07,1.7e-05
B07:09,6e-06
B07:10,1.5e-05
B07:12,2e-06
B07:14,0.0002
B07:17,2e-06
B07:18,1e-05
B07:20,8e-06
B07:22,2e-06
B07:28,2e-06
B07:47,2e-06
B07:51,1.1e-05
B07:116,3.4e-05
B08:01,0.0422
B08:02,2e-06
B08:09,1e-05
B08:13,4e-06
B08:18,4e-06
B08:46,2e-06
B08:53,2e-06
B13:01,0.0001
B13:02,0.0138
B13:03,2e-06
B13:12,2e-06
B14:01,0.0087
B14:02,0.0428
B14:03,0.0001
B14:04,6e-06
B14:05,2e-06
B14:06,2.3e-05
B15:01,0.0306
B15:02,0.0003
B15:03,0.0101
B15:04,0.0002
B15:05,2.5e-05
B15:06,8e-06
B15:07,0.0003
B15:08,6.5e-05
B15:09,0.0006
B15:10,0.0024
B15:11,4.6e-05
B15:12,8e-06
B15:13,3.6e-05
B15:15,0.0106
B15:16,0.0019
B15:17,0.0045
B15:18,0.0014
B15:20,1e-05
B15:21,4e-05
B15:23,1.3e-05
B15:24,0.0001
B15:25,4.8e-05
B15:27,4e-06
B15:28,1.1e-05
B15:29,5.7e-05
B15:30,0.0059
B15:31,4.4e-05
B15:32,6e-06
B15:34,8e-06
B15:35,6.5e-05
B15:37,2.3e-05
B15:38,1.1e-05
B15:39,0.0012
B15:40,6e-05
B15:45,6e-06
B15:46,3e-06
B15:47,3.1e-05
B15:48,0.0002
B15:53,1e-06
B15:54,1e-06
B15:55,1.1e-05
B15:63,1.5e-05
B15:64,2e-06
B15:65,6e-06
B15:108,2e-06
B15:150,2e-06
B15:202,1e-06
B18:01,0.0409
B18:02,1.7e-05
B18:03,5.2e-05
B18:04,3.4e-05
B18:05,1e-05
B18:06,4e-06
B18:07,8e-06
B18:09,2e-06
B18:11,2e-06
B18:12,4e-06
B18:13,4e-06
B18:14,2e-06
B18:15,2e-06
B18:26,2e-06
B27:01,3e-06
B27:02,0.0019
B27:03,0.0003
B27:04,6e-06
B27:05,0.0222
B27:06,0.0001
B27:07,0.0002
B27:08,9.4e-05
B27:09,1.7e-05
B27:10,3.6e-05
B27:12,7.8e-05
B27:14,1.3e-05
B27:27,1.7e-05
B27:32,2e-06
B27:47,2e-06
B27:49,1e-06
B35:01,0.0798
B35:02,0.0126
B35:03,0.013
B35:04,0.0007
B35:05,0.0015
B35:06,4.8e-05
B35:08,0.0052
B35:09,3.4e-05
B35:10,0.0002
B35:11,9.2e-05
B35:12,0.0223
B35:14,0.0034
B35:15,1.3e-05
B35:16,0.0004
B35:17,0.0107
B35:19,4e-06
B35:20,0.0009
B35:21,0.0005
B35:22,5.9e-05
B35:23,0.0002
B35:24,0.0003
B35:26,1.9e-05
B35:27,2.1e-05
B35:28,0.0006
B35:30,3.9e-05
B35:31,3.1e-05
B35:32,1e-05
B35:34,5.2e-05
B35:37,2e-06
B35:39,2e-06
B35:43,0.0047
B35:44,2e-06
B35:47,5.9e-05
B35:48,2.3e-05
B35:49,8e-06
B35:55,4e-06
B35:59,4e-06
B35:68,8e-06
B35:69,1e-06
B35:92,1e-06
B35:99,4e-06
B35:113,2e-06
B35:117,2e-06
B35:121,1e-06
B35:133,1e-06
B37:01,0.0073
B37:05,2e-06
B37:07,4e-06
B38:01,0.0183
B38:02,0.0003
B38:03,1.1e-05
B38:05,2e-06
B38:10,2e-06
B38:13,1e-06
B38:14,1e-06
B39:01,0.0082
B39:02,0.0057
B39:03,0.0001
B39:04,2.1e-05
B39:05,0.0322
B39:06,0.0287
B39:07,1.5e-05
B39:08,0.0027
B39:09,0.0002
B39:10,0.0004
B39:11,0.0006
B39:12,8e-06
B39:13,2.5e-05
B39:14,2.3e-05
B39:20,0.0001
B39:22,6e-06
B39:24,5.9e-05
B39:31,2e-06
B39:34,2e-06
B39:37,1.7e-05
B39:39,1.5e-05
B40:01,0.0143
B40:02,0.0573
B40:03,3.1e-05
B40:04,0.0002
B40:05,0.0083
B40:06,0.0013
B40:07,4e-06
B40:08,0.0039
B40:09,8e-06
B40:10,2e-06
B40:11,0.0018
B40:12,4.4e-05
B40:16,4e-05
B40:20,0.0004
B40:23,2e-06
B40:27,0.0011
B40:31,2e-06
B40:37,6e-06
B40:40,6e-06
B40:64,2e-06
B40:89,6e-06
B41:01,0.0099
B41:02,0.0042
B41:03,2.9e-05
B41:06,8e-06
B41:07,2e-06
B42:01,0.0034
B42:02,0.001
B42:10,2e-06
B44:02,0.0413
B44:03,0.047
B44:04,0.0001
B44:05,0.0011
B44:06,8e-05
B44:08,6e-06
B44:09,1.1e-05
B44:10,9e-05
B44:20,4e-06
B44:29,1.1e-05
B44:120,8e-06
B45:01,0.0145
B45:03,1e-05
B45:04,2e-06
B46:01,0.0002
B47:01,0.0024
B47:02,2e-06
B47:03,4e-06
B48:01,0.0254
B48:02,0.0001
B48:03,0.0008
B48:04,8e-06
B48:05,3e-06
B48:06,1.1e-05
B48:07,3.4e-05
B48:12,2e-06
B48:15,1e-06
B48:16,2e-06
B49:01,0.0225
B50:01,0.0133
B50:02,0.0024
B51:01,0.0578
B51:02,0.0081
B51:04,8e-06
B51:05,4.6e-05
B51:06,6.1e-05
B51:07,0.0006
B51:08,0.001
B51:09,0.0002
B51:10,1.3e-05
B51:13,0.0001
B51:14,0.0002
B51:16,6e-06
B51:20,2e-06
B51:22,2.5e-05
B51:23,2.3e-05
B51:31,1.1e-05
B51:37,2e-06
B51:43,1e-06
B51:53,1e-06
B51:72,1e-06
B51:87,1e-06
B51:92,2e-06
B52:01,0.026
B52:02,2e-06
B52:03,3.4e-05
B52:05,2e-06
B52:10,8e-06
B53:01,0.0123
B53:03,2e-06
B54:01,5.9e-05
B55:01,0.009
B55:02,9.2e-05
B55:07,4e-06
B56:01,0.0041
B56:02,1e-06
B56:03,2e-06
B56:04,7e-06
B56:15,6e-06
B57:01,0.0127
B57:02,0.0004
B57:03,0.0034
B57:04,1.3e-05
B58:01,0.009
B58:02,0.0024
B58:05,2e-06
B58:29,4e-06
B59:01,4e-06
B67:01,8.8e-05
B73:01,0.0006
B78:01,0.0009
B78:02,1.3e-05
B78:04,0.0001
B81:01,0.0013
B82:01,0.0003
B82:02,4e-06
A01:01,0.0735
A01:02,0.0012
A01:03,8.2e-05
A01:06,1.1e-05
A01:14,2e-06
A01:17,2e-06
A01:24,2e-06
A01:25,2e-06
A02:01,0.223
A02:02,0.0041
A02:03,0.0001
A02:04,0.0003
A02:05,0.0142
A02:06,0.0504
A02:07,2.3e-05
A02:11,0.0007
A02:12,2e-06
A02:13,4.2e-05
A02:14,4e-06
A02:16,1e-06
A02:17,0.0005
A02:20,0.0002
A02:22,0.0002
A02:24,1.9e-05
A02:30,4e-06
A02:33,3.8e-05
A02:34,2e-06
A02:35,6e-06
A02:38,6e-06
A02:40,1.7e-05
A02:44,0.0001
A02:46,2e-06
A02:47,2e-06
A02:49,2e-06
A02:51,8e-06
A02:52,4e-06
