allele,frequency
B07:02,0.0334
B07:05,0.0217
B07:18,5e-05
B07:80,4e-05
B08:01,0.0321
B08:12,1e-05
B08:16,1e-05
B13:01,0.028
B13:02,0.0181
B14:01,0.0004
B14:02,0.0026
B14:03,2e-05
B15:01,0.0161
B15:02,0.0403
B15:03,0.0003
B15:04,4e-05
B15:05,0.0033
B15:06,0.0001
B15:07,0.0006
B15:08,0.003
B15:09,0.0003
B15:10,0.0002
B15:11,0.0011
B15:12,0.0009
B15:13,0.0044
B15:16,2e-05
B15:17,0.0107
B15:18,0.01
B15:21,0.0037
B15:25,0.0078
B15:27,0.0013
B15:29,0.0021
B15:30,4e-05
B15:32,0.0013
B15:34,4e-05
B15:35,0.0011
B15:38,4e-05
B15:46,4e-05
B15:55,2e-05
B15:58,2e-05
B15:64,5e-05
B15:75,7e-05
B15:89,4e-05
B15:113,4e-05
B15:153,2e-05
B15:175,2e-05
B18:01,0.0294
B18:02,0.0037
B18:22,2e-05
B27:02,0.0009
B27:03,2e-05
B27:04,0.0055
B27:05,0.0071
B27:06,0.0041
B27:07,0.004
B27:24,2e-05
B27:42,2e-05
B27:53,2e-05
B35:01,0.0476
B35:02,0.0082
B35:03,0.0512
B35:05,0.0068
B35:06,9e-05
B35:08,0.0026
B35:12,2e-05
B35:13,2e-05
B35:17,2e-05
B35:21,2e-05
B35:23,2e-05
B35:30,0.0001
B35:31,1e-05
B35:34,2e-05
B35:43,2e-05
B35:66,2e-05
B35:74,2e-05
B35:75,2e-05
B35:84,1e-05
B35:88,1e-05
B35:102,1e-05
B35:113,2e-05
B35:149,3e-05
B35:150,1e-05
B37:01,0.0251
B37:04,7e-05
B38:01,0.0043
B38:02,0.0151
B38:04,2e-05
B39:01,0.0074
B39:02,1e-05
B39:05,0.0003
B39:06,0.001
B39:09,0.0022
B39:10,9e-05
B39:15,0.0007
B39:23,1e-05
B39:49,2e-05
B40:01,0.045
B40:02,0.0069
B40:03,0.0001
B40:06,0.0634
B40:08,4e-05
B40:10,0.0001
B40:11,2e-05
B40:23,0.0009
B40:26,0.0001
B40:40,4e-05
B40:50,9e-05
B41:01,0.0036
B41:02,0.0009
B42:01,0.0002
B42:02,5e-05
B44:02,0.0085
B44:03,0.0609
B44:05,0.0001
B44:06,0.0002
B44:29,2e-05
B44:83,5e-05
B45:01,0.0011
B46:01,0.0341
B46:08,2e-05
B47:01,0.0005
B48:01,0.0044
B48:03,0.0005
B48:04,0.002
B48:24,2e-05
B49:01,0.0061
B50:01,0.0152
B50:04,7e-05
B51:01,0.067
B51:02,0.0033
B51:05,0.0002
B51:06,0.005
B51:07,0.0014
B51:08,0.0009
B51:09,4e-05
B51:19,2e-05
B51:37,4e-05
B51:73,3e-05
B52:01,0.0592
B52:03,1e-05
B52:04,0.0003
B52:10,1e-05
B52:11,2e-05
B53:01,0.0014
B53:04,1e-05
B53:05,4e-05
B53:07,1e-05
B54:01,0.0038
B55:01,0.0155
B55:02,0.0076
B55:04,0.0001
B55:07,4e-05
B55:12,4e-05
B55:31,2e-05
B56:01,0.0063
B56:02,2e-05
B56:03,0.0002
B56:04,0.0016
B56:10,7e-05
B56:11,5e-05
